event_id,tick,year,civilization_id,event_type,description
TRN-EVT-00033,1,100,30e300e760,Quantum Network Upgrade,The Scientific AI Hegemony constructed capital Jump Gate 'GAT-0033' (Quantum Relay Gate) in star system Theta Sagittarii.
TRN-EVT-00034,1,100,6fbfc2a11d,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0034' (Quantum Relay Gate) in star system Sigma Orionis.
TRN-EVT-00035,1,100,3c4760ddea,Transit Revolution,The Consolidated Zelis Systems constructed capital Jump Gate 'GAT-0035' (Galactic Gate) in star system HR 208303.
TRN-EVT-00036,1,100,9d578c755a,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0036' (Quantum Relay Gate) in star system TESS-5798.
TRN-EVT-00037,1,100,23094db297,Transit Revolution,The Consolidated Allied Systems constructed capital Jump Gate 'GAT-0037' (Empire Gate) in star system HD 190494.
TRN-EVT-00038,1,100,642e75a08d,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0038' (Quantum Relay Gate) in star system GDE-7399.
TRN-EVT-00039,1,100,b619dd5fb5,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0039' (Quantum Relay Gate) in star system Kepler-7447c.
TRN-EVT-00040,1,100,3e1c9fe27e,Quantum Network Upgrade,The Cygnian Star Empire constructed capital Jump Gate 'GAT-0040' (Quantum Relay Gate) in star system Gamma Cygni.
TRN-EVT-00041,1,100,6ebb371c3c,Quantum Network Upgrade,The Great Tau-galacticis Imperium constructed capital Jump Gate 'GAT-0041' (Quantum Relay Gate) in star system Tau Galacticis.
TRN-EVT-00042,1,100,1b37c066da,Transit Revolution,The Great Valis Imperium constructed capital Jump Gate 'GAT-0042' (Galactic Gate) in star system PSR 62227.
TRN-EVT-00043,1,100,f4a721a47f,Transit Revolution,The Gamma-galacticis Technocracy constructed capital Jump Gate 'GAT-0043' (Galactic Gate) in star system Gamma Galacticis.
TRN-EVT-00044,1,100,63d8758b53,Transit Revolution,The Consolidated Aurelex Systems constructed capital Jump Gate 'GAT-0044' (Empire Gate) in star system Webb-1026.
TRN-EVT-00045,1,100,415811daec,Quantum Network Upgrade,The Solian Star Empire constructed capital Jump Gate 'GAT-0045' (Quantum Relay Gate) in star system Kepler-7797.
TRN-EVT-00046,1,100,5b3c302325,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0046' (Quantum Relay Gate) in star system Theta Bulge.
TRN-EVT-00047,1,100,947f74a852,Quantum Network Upgrade,The Allied Technocracy constructed capital Jump Gate 'GAT-0047' (Quantum Relay Gate) in star system Psi Sagittarii.
TRN-EVT-00048,1,100,e23dc5e375,Transit Revolution,The Galactician Star Empire constructed capital Jump Gate 'GAT-0048' (Galactic Gate) in star system Chi Galacticis.
TRN-EVT-00049,1,100,77811a2fa9,Quantum Network Upgrade,The Consolidated Gaeian Systems constructed capital Jump Gate 'GAT-0049' (Quantum Relay Gate) in star system Gaea.
TRN-EVT-00050,1,100,4a9574c523,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0050' (Quantum Relay Gate) in star system Kepler-3722.
TRN-EVT-00051,1,100,2a34070c99,Quantum Network Upgrade,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0051' (Quantum Relay Gate) in star system Phi Persei.
TRN-EVT-00052,1,100,6657429a7c,Quantum Network Upgrade,The Consolidated Unified Systems constructed capital Jump Gate 'GAT-0052' (Quantum Relay Gate) in star system Ignis IV.
TRN-EVT-00053,1,100,5f5ebcf2f5,Quantum Network Upgrade,The Solari Star Empire constructed capital Jump Gate 'GAT-0053' (Quantum Relay Gate) in star system Kepler-6215.
TRN-EVT-00054,1,100,095464621d,Quantum Network Upgrade,The Great Cygnan Imperium constructed capital Jump Gate 'GAT-0054' (Quantum Relay Gate) in star system Rho Cygni.
TRN-EVT-00055,1,100,a987357567,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0055' (Quantum Relay Gate) in star system HR 248540.
TRN-EVT-00056,1,100,cf1fb521d7,Quantum Network Upgrade,The Great Allied Imperium constructed capital Jump Gate 'GAT-0056' (Quantum Relay Gate) in star system Gamma Sagittarii.
TRN-EVT-00057,1,100,a03b53100a,Quantum Network Upgrade,The Great Orionex Imperium constructed capital Jump Gate 'GAT-0057' (Quantum Relay Gate) in star system Gliese 327.0.
TRN-EVT-00058,1,100,2640424e04,Quantum Network Upgrade,The Unified AI Hegemony constructed capital Jump Gate 'GAT-0058' (Quantum Relay Gate) in star system HR 51505.
TRN-EVT-00059,1,100,ad899b1ed9,Transit Revolution,The Great Meran Imperium constructed capital Jump Gate 'GAT-0059' (Galactic Gate) in star system HIP 288720.
TRN-EVT-00060,1,100,7994a1ada7,Transit Revolution,The Unified Star Empire constructed capital Jump Gate 'GAT-0060' (Galactic Gate) in star system Xi Bulge.
TRN-EVT-00061,1,100,984d4d4161,Transit Revolution,The Consolidated Technocracy constructed capital Jump Gate 'GAT-0061' (Galactic Gate) in star system Webb-3705.
TRN-EVT-00062,1,100,04b742dd38,Transit Revolution,The Consolidated Perseian Systems constructed capital Jump Gate 'GAT-0062' (Galactic Gate) in star system Psi Persei.
TRN-EVT-00063,1,100,82f9ee8fb4,Quantum Network Upgrade,The Great Valoid Imperium constructed capital Jump Gate 'GAT-0063' (Quantum Relay Gate) in star system Gliese 2.0.
TRN-EVT-00064,1,100,08d81107e6,Quantum Network Upgrade,The Zylarian AI Hegemony constructed capital Jump Gate 'GAT-0064' (Quantum Relay Gate) in star system PSR 86396.
TRN-EVT-00065,1,100,38a2dd884c,Transit Revolution,The Consolidated Allied Systems constructed capital Jump Gate 'GAT-0065' (Galactic Gate) in star system Pi Sagittarii.
TRN-EVT-00066,1,100,1c90d82c80,Transit Revolution,The Great Cygnian Imperium constructed capital Jump Gate 'GAT-0066' (Galactic Gate) in star system Delta Cygni.
TRN-EVT-00067,1,100,a222a74ae8,Quantum Network Upgrade,The Great Zelex Imperium constructed capital Jump Gate 'GAT-0067' (Quantum Relay Gate) in star system TESS-8033.
TRN-EVT-00068,1,100,f714a79195,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0068' (Quantum Relay Gate) in star system Epsilon Orionis.
TRN-EVT-00069,1,100,f0cb6b0a91,Quantum Network Upgrade,The Great Xenoid Imperium constructed capital Jump Gate 'GAT-0069' (Quantum Relay Gate) in star system Gaia-7887.
TRN-EVT-00070,1,100,7be35390be,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0070' (Quantum Relay Gate) in star system Webb-9059.
TRN-EVT-00071,1,100,fe5ce1f2b8,Quantum Network Upgrade,The Consolidated Consolidated Systems constructed capital Jump Gate 'GAT-0071' (Quantum Relay Gate) in star system HIP 201480.
TRN-EVT-00072,1,100,7652ec5c8d,Quantum Network Upgrade,The Unified Technocracy constructed capital Jump Gate 'GAT-0072' (Quantum Relay Gate) in star system Theta Persei.
TRN-EVT-00073,1,100,f0ada7121c,Quantum Network Upgrade,The Consolidated Consolidated Systems constructed capital Jump Gate 'GAT-0073' (Quantum Relay Gate) in star system Webb-6199.
TRN-EVT-00074,1,100,187eb0978f,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0074' (Quantum Relay Gate) in star system GDE-2341.
TRN-EVT-00075,1,100,8bd71d17f7,Quantum Network Upgrade,The Unified AI Hegemony constructed capital Jump Gate 'GAT-0075' (Quantum Relay Gate) in star system TESS-2835.
TRN-EVT-00076,1,100,71d820677a,Transit Revolution,The Zylaran AI Hegemony constructed capital Jump Gate 'GAT-0076' (Empire Gate) in star system Gliese 837.0.
TRN-EVT-00077,1,100,be3191b575,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0077' (Quantum Relay Gate) in star system Eta Galacticis.
TRN-EVT-00078,1,100,b75dce1421,Transit Revolution,The Great Allied Imperium constructed capital Jump Gate 'GAT-0078' (Empire Gate) in star system Chi Bulge.
TRN-EVT-00079,1,100,4c8e6a8540,Transit Revolution,The Great Allied Imperium constructed gateway 'GAT-0079' (Regional Gate) at colony Chi Bulge-d Prime.
TRN-EVT-00080,1,100,76c64a14d6,Quantum Network Upgrade,The Consolidated Unified Systems constructed capital Jump Gate 'GAT-0080' (Quantum Relay Gate) in star system PSR 156692.
TRN-EVT-00081,1,100,517cb43ce0,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0081' (Quantum Relay Gate) in star system TESS-9709.
TRN-EVT-00082,1,100,8853384409,Quantum Network Upgrade,The Unified Technocracy constructed capital Jump Gate 'GAT-0082' (Quantum Relay Gate) in star system HD 59434.
TRN-EVT-00083,1,100,bda6417e80,Transit Revolution,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0083' (Galactic Gate) in star system Gamma Persei.
TRN-EVT-00084,1,100,778b8b68c3,Quantum Network Upgrade,The Scientific Star Empire constructed capital Jump Gate 'GAT-0084' (Quantum Relay Gate) in star system HR 27482.
TRN-EVT-00085,1,100,37b8da7a55,Quantum Network Upgrade,The Great Zylaris Imperium constructed capital Jump Gate 'GAT-0085' (Quantum Relay Gate) in star system GDE-7733.
TRN-EVT-00086,1,100,c1803ec34d,Quantum Network Upgrade,The Great Aurelari Imperium constructed capital Jump Gate 'GAT-0086' (Quantum Relay Gate) in star system GDE-4866a.
TRN-EVT-00087,1,100,d957806d32,Quantum Network Upgrade,The Galactician Technocracy constructed capital Jump Gate 'GAT-0087' (Quantum Relay Gate) in star system Sigma Galacticis.
TRN-EVT-00088,1,100,d5f12251b2,Quantum Network Upgrade,The Consolidated Unified Systems constructed capital Jump Gate 'GAT-0088' (Quantum Relay Gate) in star system Gliese 663.0.
TRN-EVT-00089,1,100,529174abfd,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0089' (Quantum Relay Gate) in star system TESS-5743b.
TRN-EVT-00090,1,100,6a9427ac16,Transit Revolution,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0090' (Galactic Gate) in star system Prometheus.
TRN-EVT-00091,1,100,094756ff65,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0091' (Quantum Relay Gate) in star system HIP 246403.
TRN-EVT-00092,1,100,d340e67e88,Transit Revolution,The Consolidated Scientific Systems constructed capital Jump Gate 'GAT-0092' (Galactic Gate) in star system HR 58037.
TRN-EVT-00093,1,100,78635879d1,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0093' (Quantum Relay Gate) in star system Selene.
TRN-EVT-00094,1,100,62149b123f,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0094' (Quantum Relay Gate) in star system Eta Sagittarii.
TRN-EVT-00095,1,100,4c3eb31272,Quantum Network Upgrade,The Iota-sagittariis Technocracy constructed capital Jump Gate 'GAT-0095' (Quantum Relay Gate) in star system Iota Sagittarii.
TRN-EVT-00096,1,100,6c40e5c997,Quantum Network Upgrade,The Orionite Technocracy constructed capital Jump Gate 'GAT-0096' (Quantum Relay Gate) in star system Upsilon Orionis.
TRN-EVT-00097,1,100,5a236efd3f,Quantum Network Upgrade,The Great Beta-bulgis Imperium constructed capital Jump Gate 'GAT-0097' (Quantum Relay Gate) in star system Beta Bulge.
TRN-EVT-00098,1,100,1bc76d1c73,Transit Revolution,The Consolidated Star Empire constructed capital Jump Gate 'GAT-0098' (Galactic Gate) in star system TESS-3963d.
TRN-EVT-00099,1,100,1c4722b997,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0099' (Quantum Relay Gate) in star system Nu Orionis.
TRN-EVT-00100,1,100,0e67dd57aa,Transit Revolution,The Unified Technocracy constructed capital Jump Gate 'GAT-0100' (Galactic Gate) in star system HR 120160.
TRN-EVT-00101,1,100,19190c022d,Transit Revolution,The Great Allied Imperium constructed capital Jump Gate 'GAT-0101' (Galactic Gate) in star system Webb-1799.
TRN-EVT-00102,1,100,d0016e25b4,Quantum Network Upgrade,The Great Meran Imperium constructed capital Jump Gate 'GAT-0102' (Quantum Relay Gate) in star system HIP 114085.
TRN-EVT-00103,1,100,2b478a564d,Transit Revolution,The Aurelian Star Empire constructed capital Jump Gate 'GAT-0103' (Empire Gate) in star system Aurelia.
TRN-EVT-00104,1,100,23582772c8,Quantum Network Upgrade,The Orionite AI Hegemony constructed capital Jump Gate 'GAT-0104' (Quantum Relay Gate) in star system Delta Orionis.
TRN-EVT-00105,1,100,61397f1d85,Quantum Network Upgrade,The Solari Technocracy constructed capital Jump Gate 'GAT-0105' (Quantum Relay Gate) in star system TESS-973.
TRN-EVT-00106,1,100,bcfcfb49cf,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0106' (Quantum Relay Gate) in star system HR 104924.
TRN-EVT-00107,1,100,096fc37df4,Transit Revolution,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0107' (Galactic Gate) in star system HD 275033.
TRN-EVT-00108,1,100,0b6029ea29,Quantum Network Upgrade,The Scientific AI Hegemony constructed capital Jump Gate 'GAT-0108' (Quantum Relay Gate) in star system Webb-5587a.
TRN-EVT-00109,1,100,3557fb1c6f,Quantum Network Upgrade,The Allied Star Empire constructed capital Jump Gate 'GAT-0109' (Quantum Relay Gate) in star system GDE-845.
TRN-EVT-00110,1,100,9a629191f0,Quantum Network Upgrade,The Allied Technocracy constructed capital Jump Gate 'GAT-0110' (Quantum Relay Gate) in star system HD 162586.
TRN-EVT-00111,1,100,33e625a829,Quantum Network Upgrade,The Aureloid Star Empire constructed capital Jump Gate 'GAT-0111' (Quantum Relay Gate) in star system TESS-6387.
TRN-EVT-00112,1,100,71073d1e77,Transit Revolution,The Consolidated Scientific Systems constructed capital Jump Gate 'GAT-0112' (Galactic Gate) in star system HR 211002.
TRN-EVT-00113,1,100,dc652af4e1,Quantum Network Upgrade,The Cygnan Technocracy constructed capital Jump Gate 'GAT-0113' (Quantum Relay Gate) in star system Sigma Cygni.
TRN-EVT-00114,1,100,bc259c8444,Quantum Network Upgrade,The Scientific AI Hegemony constructed capital Jump Gate 'GAT-0114' (Quantum Relay Gate) in star system HIP 121095.
TRN-EVT-00115,1,100,b4e38b5ba0,Quantum Network Upgrade,The Consolidated Scientific Systems constructed capital Jump Gate 'GAT-0115' (Quantum Relay Gate) in star system Epsilon Bulge.
TRN-EVT-00116,1,100,ed8eb43829,Quantum Network Upgrade,The Omega-bulgis AI Hegemony constructed capital Jump Gate 'GAT-0116' (Quantum Relay Gate) in star system Omega Bulge.
TRN-EVT-00117,1,100,1e3994853e,Quantum Network Upgrade,The Consolidated Star Empire constructed capital Jump Gate 'GAT-0117' (Quantum Relay Gate) in star system HD 50077.
TRN-EVT-00118,1,100,d07bc4ae63,Transit Revolution,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0118' (Galactic Gate) in star system HR 233687.
TRN-EVT-00119,1,100,9696ce2491,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0119' (Quantum Relay Gate) in star system HIP 217328.
TRN-EVT-00120,1,100,9d449a31b9,Transit Revolution,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0120' (Empire Gate) in star system Omega Cygni.
TRN-EVT-00121,1,100,12f8de3472,Transit Revolution,The Thranari Technocracy constructed capital Jump Gate 'GAT-0121' (Empire Gate) in star system HD 36797.
TRN-EVT-00122,1,100,afc6771a1e,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0122' (Quantum Relay Gate) in star system Webb-3991.
TRN-EVT-00123,1,100,63803c4eb1,Quantum Network Upgrade,The Unified Technocracy constructed capital Jump Gate 'GAT-0123' (Quantum Relay Gate) in star system PSR 133182.
TRN-EVT-00124,1,100,53856bd8ca,Transit Revolution,The Allied Technocracy constructed capital Jump Gate 'GAT-0124' (Galactic Gate) in star system Tau Sagittarii.
TRN-EVT-00125,1,100,da38a63176,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0125' (Quantum Relay Gate) in star system Webb-7458.
TRN-EVT-00126,1,100,f004cb791e,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0126' (Quantum Relay Gate) in star system Beta Persei.
TRN-EVT-00127,1,100,15955262e1,Transit Revolution,The Aurelian AI Hegemony constructed capital Jump Gate 'GAT-0127' (Galactic Gate) in star system PSR 289778.
TRN-EVT-00128,1,100,7dc225fd37,Quantum Network Upgrade,The Consolidated Technocracy constructed capital Jump Gate 'GAT-0128' (Quantum Relay Gate) in star system PSR 165223.
TRN-EVT-00129,1,100,373ea01e5c,Transit Revolution,The Consolidated Technocracy constructed capital Jump Gate 'GAT-0129' (Galactic Gate) in star system Gliese 787.0.
TRN-EVT-00130,1,100,17fee1a6ac,Transit Revolution,The Thranite Star Empire constructed capital Jump Gate 'GAT-0130' (Galactic Gate) in star system TESS-915.
TRN-EVT-00131,1,100,5d262aaec3,Quantum Network Upgrade,The Consolidated AI Hegemony constructed capital Jump Gate 'GAT-0131' (Quantum Relay Gate) in star system TESS-7890.
TRN-EVT-00132,1,100,f2bbbfc167,Transit Revolution,The Great Bulgan Imperium constructed capital Jump Gate 'GAT-0132' (Galactic Gate) in star system Delta Bulge.
TRN-EVT-00133,1,100,f2bbbfc167,Transit Revolution,The Great Bulgan Imperium constructed gateway 'GAT-0133' (Regional Gate) at colony Bulgan Outpost 41.
TRN-EVT-00134,1,100,d7ec4d3018,Quantum Network Upgrade,The Thranan Technocracy constructed capital Jump Gate 'GAT-0134' (Quantum Relay Gate) in star system HR 175320.
TRN-EVT-00135,1,100,931aa9655e,Quantum Network Upgrade,The Orionite Technocracy constructed capital Jump Gate 'GAT-0135' (Quantum Relay Gate) in star system Gliese 257.0.
TRN-EVT-00136,1,100,a7f6005fd2,Transit Revolution,The Consolidated Meroid Systems constructed capital Jump Gate 'GAT-0136' (Galactic Gate) in star system Kepler-6776.
TRN-EVT-00137,1,100,4164b650a3,Quantum Network Upgrade,The Consolidated Unified Systems constructed capital Jump Gate 'GAT-0137' (Quantum Relay Gate) in star system HD 14791.
TRN-EVT-00138,1,100,7ba9deb67e,Quantum Network Upgrade,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0138' (Quantum Relay Gate) in star system Webb-4746d.
TRN-EVT-00139,1,100,785ce4730c,Quantum Network Upgrade,The Consolidated Unified Systems constructed capital Jump Gate 'GAT-0139' (Quantum Relay Gate) in star system Kepler-8079d.
TRN-EVT-00140,1,100,c87f4b2d09,Transit Revolution,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0140' (Galactic Gate) in star system HR 123535.
TRN-EVT-00141,1,100,c59e7444f5,Quantum Network Upgrade,The Meran Technocracy constructed capital Jump Gate 'GAT-0141' (Quantum Relay Gate) in star system PSR 272701.
TRN-EVT-00142,1,100,41e5776038,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0142' (Quantum Relay Gate) in star system Webb-8019.
TRN-EVT-00143,1,100,cbdac2fac3,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0143' (Quantum Relay Gate) in star system Kepler-604.
TRN-EVT-00144,1,100,9891e1dd90,Quantum Network Upgrade,The Great Scientific Imperium constructed capital Jump Gate 'GAT-0144' (Quantum Relay Gate) in star system TESS-8500.
TRN-EVT-00145,1,100,5d94c085f5,Quantum Network Upgrade,The Allied Technocracy constructed capital Jump Gate 'GAT-0145' (Quantum Relay Gate) in star system HIP 233393.
TRN-EVT-00146,1,100,cc71651dca,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0146' (Quantum Relay Gate) in star system Gaia-4401.
TRN-EVT-00147,1,100,b7f420628f,Transit Revolution,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0147' (Galactic Gate) in star system Iota Persei.
TRN-EVT-00148,1,100,1a2a63b5eb,Quantum Network Upgrade,The Great Allied Imperium constructed capital Jump Gate 'GAT-0148' (Quantum Relay Gate) in star system Gaia-2648c.
TRN-EVT-00149,1,100,8e17c1b492,Transit Revolution,The Solex Star Empire constructed capital Jump Gate 'GAT-0149' (Empire Gate) in star system TESS-7730a.
TRN-EVT-00150,1,100,15c488fdb9,Quantum Network Upgrade,The Great Unified Imperium constructed capital Jump Gate 'GAT-0150' (Quantum Relay Gate) in star system Gaia-4413.
TRN-EVT-00151,1,100,a9283be55d,Transit Revolution,The Consolidated Epsilon-perseis Systems constructed capital Jump Gate 'GAT-0151' (Galactic Gate) in star system Epsilon Persei.
TRN-EVT-00152,1,100,7fdb421436,Transit Revolution,The Great Consolidated Imperium constructed capital Jump Gate 'GAT-0152' (Galactic Gate) in star system Tau Cygni.
TRN-EVT-00153,1,100,b323933feb,Transit Revolution,The Allied Star Empire constructed capital Jump Gate 'GAT-0153' (Empire Gate) in star system TESS-6922.
TRN-EVT-00154,1,100,c5f014b287,Quantum Network Upgrade,The Bulgan Technocracy constructed capital Jump Gate 'GAT-0154' (Quantum Relay Gate) in star system Alpha Bulge.
TRN-EVT-00155,1,100,e1c4b2ed14,Quantum Network Upgrade,The Scientific Technocracy constructed capital Jump Gate 'GAT-0155' (Quantum Relay Gate) in star system HIP 286034.
TRN-EVT-00156,1,100,a568c633c8,Transit Revolution,The Aurelari Technocracy constructed capital Jump Gate 'GAT-0156' (Galactic Gate) in star system HIP 14841.
TRN-EVT-00157,1,100,0187c7d64a,Transit Revolution,The Vesperan Technocracy constructed capital Jump Gate 'GAT-0157' (Galactic Gate) in star system Webb-694.
TRN-EVT-00158,1,100,f1337406a3,Quantum Network Upgrade,The Great Thranan Imperium constructed capital Jump Gate 'GAT-0158' (Quantum Relay Gate) in star system GDE-5391.
TRN-EVT-00159,1,100,354b63d6d6,Quantum Network Upgrade,The Consolidated Scientific Systems constructed capital Jump Gate 'GAT-0159' (Quantum Relay Gate) in star system Gliese 196.0.
TRN-EVT-00160,1,100,8c80ad65b6,Transit Revolution,The Orionex AI Hegemony constructed capital Jump Gate 'GAT-0160' (Galactic Gate) in star system TESS-7571.
