article_id,year,category,headline,body,spokesperson
art_000012,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Great Scientific Alliance was established as a Research Alliance including members: 95cba99a70,73cb158d41. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000013,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Unified Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Unified Scientific Alliance was established as a Research Alliance including members: 95cba99a70,7419a59432. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000014,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: 95cba99a70,3be9d94e07. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000015,0,Political Update,DIPLOMATIC REPORT: Great-Unified Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Unified Defense Pact was established as a Defense Pact including members: 73cb158d41,7419a59432. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000016,0,Political Update,DIPLOMATIC REPORT: Great-Zylarian Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Zylarian Defense Pact was established as a Defense Pact including members: 73cb158d41,bb1351012f. Speaking on the situation, Consul Lyra Sovereign remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000017,0,Political Update,DIPLOMATIC REPORT: The Great-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Consolidated Scientific Alliance was established as a Research Alliance including members: 73cb158d41,3be9d94e07. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000018,0,Political Update,DIPLOMATIC REPORT: Unified-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Unified-Consolidated Defense Pact was established as a Defense Pact including members: 7419a59432,3be9d94e07. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000019,0,Political Update,DIPLOMATIC REPORT: The Great-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Consolidated Scientific Alliance was established as a Research Alliance including members: 033668785c,f8a4edc83b. Speaking on the situation, Consul Lyra Sovereign remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000020,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: 033668785c,d2748466c9. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000021,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Great Scientific Alliance was established as a Research Alliance including members: f8a4edc83b,d2748466c9. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000022,0,Political Update,DIPLOMATIC REPORT: Great-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Consolidated Defense Pact was established as a Defense Pact including members: 23979e6a05,b6e89e8b4d. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000023,0,Political Update,DIPLOMATIC REPORT: The Great-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Consolidated Scientific Alliance was established as a Research Alliance including members: 23979e6a05,03fca7f787. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000024,0,Political Update,DIPLOMATIC REPORT: Great-Scientific Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Scientific Defense Pact was established as a Defense Pact including members: 23979e6a05,939c53fc68. Speaking on the situation, Consul Lyra Sovereign remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000025,0,Political Update,DIPLOMATIC REPORT: Consolidated-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Consolidated Defense Pact was established as a Defense Pact including members: b6e89e8b4d,58a2b00e32. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000026,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: 5db2756626,37df7ce9be. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000027,0,Political Update,DIPLOMATIC REPORT: Great-Unified Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Unified Defense Pact was established as a Defense Pact including members: 5db2756626,52d6d92e6b. Speaking on the situation, Consul Lyra Sovereign remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000028,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: 5db2756626,ea27a17ca6. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000029,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: 37df7ce9be,63fff6610a. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000030,0,Political Update,DIPLOMATIC REPORT: Great-Unified Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Unified Defense Pact was established as a Defense Pact including members: 37df7ce9be,52d6d92e6b. Speaking on the situation, Consul Lyra Sovereign remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000031,0,Political Update,DIPLOMATIC REPORT: Great-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Great Defense Pact was established as a Defense Pact including members: 37df7ce9be,ea27a17ca6. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000032,0,Political Update,DIPLOMATIC REPORT: The Great-Unified Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Unified Scientific Alliance was established as a Research Alliance including members: 63fff6610a,52d6d92e6b. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000033,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: 63fff6610a,ea27a17ca6. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000034,0,Political Update,DIPLOMATIC REPORT: Zylarex-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Zylarex-Great Defense Pact was established as a Defense Pact including members: 962632e3ac,0bfb7074dd. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000035,0,Political Update,DIPLOMATIC REPORT: Zylarex-Scientific Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Zylarex-Scientific Defense Pact was established as a Defense Pact including members: 962632e3ac,626215ebea. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000036,0,Political Update,DIPLOMATIC REPORT: The Zylarex-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Zylarex-Great Scientific Alliance was established as a Research Alliance including members: 962632e3ac,d8145cd1f0. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000037,0,Political Update,DIPLOMATIC REPORT: Great-Scientific Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Scientific Defense Pact was established as a Defense Pact including members: 0bfb7074dd,626215ebea. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000038,0,Political Update,DIPLOMATIC REPORT: The Scientific-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Scientific-Great Scientific Alliance was established as a Research Alliance including members: 626215ebea,d8145cd1f0. Speaking on the situation, Consul Lyra Sovereign remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000039,0,Political Update,DIPLOMATIC REPORT: Great-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Consolidated Defense Pact was established as a Defense Pact including members: 7315025cfd,d853839dba. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000040,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: c56a0b9792,2173a01d64. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000041,0,Political Update,DIPLOMATIC REPORT: Consolidated-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Consolidated Defense Pact was established as a Defense Pact including members: 35390a1939,6d4e0abb77. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000042,0,Political Update,DIPLOMATIC REPORT: The Unified-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Unified-Great Scientific Alliance was established as a Research Alliance including members: 494354518b,a425d5c923. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000043,0,Political Update,DIPLOMATIC REPORT: Great-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Consolidated Defense Pact was established as a Defense Pact including members: 9cad00795f,155f4eead5. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000044,0,Political Update,DIPLOMATIC REPORT: The Great-Aethelgardan Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Aethelgardan Scientific Alliance was established as a Research Alliance including members: 9cad00795f,4e674c46b8. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000045,0,Political Update,DIPLOMATIC REPORT: Consolidated-Great Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Great Defense Pact was established as a Defense Pact including members: 155f4eead5,35b25d7eaf. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000046,0,Political Update,DIPLOMATIC REPORT: Consolidated-Aethelgardan Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Aethelgardan Defense Pact was established as a Defense Pact including members: 155f4eead5,4e674c46b8. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000047,0,Political Update,DIPLOMATIC REPORT: Consolidated-Kaelumis Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Kaelumis Defense Pact was established as a Defense Pact including members: e4a60e62b6,80be4440e8. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000048,0,Political Update,DIPLOMATIC REPORT: Consolidated-Thranis Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Consolidated-Thranis Defense Pact was established as a Defense Pact including members: e4a60e62b6,c7a93adf27. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000049,0,Political Update,DIPLOMATIC REPORT: Great-Xenan Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Xenan Defense Pact was established as a Defense Pact including members: 24423298c0,95985a8620. Speaking on the situation, Consul Lyra Sovereign remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000050,0,Political Update,DIPLOMATIC REPORT: Great-Kaelumis Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Kaelumis Defense Pact was established as a Defense Pact including members: 24423298c0,80be4440e8. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000051,0,Political Update,DIPLOMATIC REPORT: The Great-Thranis Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Thranis Scientific Alliance was established as a Research Alliance including members: 24423298c0,c7a93adf27. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000052,0,Political Update,DIPLOMATIC REPORT: The Xenan-Kaelumis Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Xenan-Kaelumis Scientific Alliance was established as a Research Alliance including members: 95985a8620,80be4440e8. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000053,0,Political Update,DIPLOMATIC REPORT: The Xenan-Thranis Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Xenan-Thranis Scientific Alliance was established as a Research Alliance including members: 95985a8620,c7a93adf27. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000054,0,Political Update,DIPLOMATIC REPORT: The Kaelumis-Allied Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Kaelumis-Allied Scientific Alliance was established as a Research Alliance including members: 80be4440e8,df2217070a. Speaking on the situation, Chancellor Telas Vex remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000055,0,Political Update,DIPLOMATIC REPORT: The Thranis-Allied Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Thranis-Allied Scientific Alliance was established as a Research Alliance including members: c7a93adf27,df2217070a. Speaking on the situation, Consul Lyra Sovereign remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000056,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: c64460376e,53e4b98264. Speaking on the situation, Chancellor Telas Vex remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000057,0,Political Update,DIPLOMATIC REPORT: Great-Unified Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Unified Defense Pact was established as a Defense Pact including members: 53e4b98264,14c594f145. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000058,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Great Scientific Alliance was established as a Research Alliance including members: abb26e55dc,d401178af2. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000059,0,Political Update,DIPLOMATIC REPORT: The Great-Great Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Great-Great Scientific Alliance was established as a Research Alliance including members: 075b3fb3b1,d401178af2. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000060,0,Political Update,DIPLOMATIC REPORT: Great-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Consolidated Defense Pact was established as a Defense Pact including members: 3c983bfdab,db90f4ff25. Speaking on the situation, Consul Lyra Sovereign remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000061,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Consolidated Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Consolidated Scientific Alliance was established as a Research Alliance including members: db90f4ff25,cfec2df928. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000062,0,Political Update,DIPLOMATIC REPORT: Scientific-Consolidated Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Scientific-Consolidated Defense Pact was established as a Defense Pact including members: 30e300e760,65ea513ebb. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000063,0,Political Update,DIPLOMATIC REPORT: The Consolidated-Sagittariite Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Consolidated-Sagittariite Scientific Alliance was established as a Research Alliance including members: 65ea513ebb,7bf42c3a49. Speaking on the situation, Chancellor Telas Vex remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Chancellor Telas Vex
art_000064,0,Political Update,DIPLOMATIC REPORT: Great-Unified Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Unified Defense Pact was established as a Defense Pact including members: 6fbfc2a11d,81601b2e5e. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000065,0,Political Update,DIPLOMATIC REPORT: Great-Sigma-orionis Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Sigma-orionis Defense Pact was established as a Defense Pact including members: 6fbfc2a11d,72196fa906. Speaking on the situation, Consul Lyra Sovereign remarked, ""Diplomacy remains our strongest shield in these uncertain times."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
art_000066,0,Political Update,DIPLOMATIC REPORT: The Unified-Sigma-orionis Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Unified-Sigma-orionis Scientific Alliance was established as a Research Alliance including members: bceea7e00e,72196fa906. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000067,0,Political Update,DIPLOMATIC REPORT: The Unified-Sigma-orionis Scientific Alliance Signs Agreement!,"On Year 0, the Galactic News Network reports that: The The Unified-Sigma-orionis Scientific Alliance was established as a Research Alliance including members: bceea7e00e,98fbfa35fa. Speaking on the situation, Prime Minister Sylas Rifts remarked, ""Central authority will maintain stability across all colonies."" Analysts suggest this will have long-term consequences for the local star systems.",Prime Minister Sylas Rifts
art_000068,0,Political Update,DIPLOMATIC REPORT: Great-Unified Defense Pact Signs Agreement!,"On Year 0, the Galactic News Network reports that: The Great-Unified Defense Pact was established as a Defense Pact including members: 9875fc03a4,81601b2e5e. Speaking on the situation, Consul Lyra Sovereign remarked, ""This treaty marks the beginning of a secure alliance."" Analysts suggest this will have long-term consequences for the local star systems.",Consul Lyra Sovereign
