civilization_id,civilization_name,year,event_type,description,stability_impact,population_impact,event_id
984d4d4161,Consolidated Vesperan Worlds,1000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00079
82f9ee8fb4,The Valoid Federation,1000,Civil War,Societal division erupted into widespread civil war. Transitioned to Collective.,-50.0,-1491063874.3707945,EVT-00080
c235dc422c,Scientific Kaeluman Union,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00081
a31575c86a,Unified Orionex Council,1000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1277714084.8505971,EVT-00082
7f4ec7825c,Allied Soloid Systems,1000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-43773477.53655453,EVT-00083
a1d0ea467a,Unified Meris Council,1000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1412980369.9183662,EVT-00084
517cb43ce0,Scientific Solan Union,1000,Government Reform,The political structures peacefully reformed. Transitioned from Monarchy to Technocracy.,0.0,0.0,EVT-00085
bda6417e80,Scientific Persean Union,1000,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to Technocracy.,0.0,0.0,EVT-00086
b4221d6e15,Unified Xenis Council,1000,Government Reform,The political structures peacefully reformed. Transitioned from Collective to Technocracy.,0.0,0.0,EVT-00087
b4221d6e15,Unified Xenis Council,1000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,211625620.4213627,EVT-00088
658cf93cc4,Unified Zylarian Council,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00089
3b106fa102,Unified Perseian Council,1000,Government Reform,The political structures peacefully reformed. Transitioned from Democracy to Technocracy.,0.0,0.0,EVT-00090
4df0d9ee3b,Scientific Orionite Union,1000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00091
b8c054770f,Beta-bulgis Directorate,1000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-905067390.9205159,EVT-00092
58a2b00e32,Consolidated Persean Worlds,1000,Government Reform,The political structures peacefully reformed. Transitioned from Monarchy to Collective.,0.0,0.0,EVT-00093
e1017ed35e,Cygnan Directorate,1000,Civil War,Societal division erupted into widespread civil war. Transitioned to Collective.,-50.0,-489025404.5158895,EVT-00094
9696ce2491,Scientific Vesperari Union,1000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-183281687.4395531,EVT-00095
15955262e1,Aurelian Directorate,1000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00096
17fee1a6ac,The Thranite Federation,1000,Government Reform,The political structures peacefully reformed. Transitioned from AI Governance to Scientific Council.,0.0,0.0,EVT-00097
66d46fcd47,Consolidated Orionite Worlds,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00098
db6da7e17a,Orionis Directorate,1000,Government Reform,The political structures peacefully reformed. Transitioned from Collective to Collective.,0.0,0.0,EVT-00099
7ba9deb67e,Consolidated Xenoid Worlds,1000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00100
41a9345e47,The Aurelian Federation,1000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-102075814.70944999,EVT-00101
1a2a63b5eb,Allied Thranian Systems,1000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-68246873.07032244,EVT-00102
8c80ad65b6,Orionex Directorate,1000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-575005446.9475576,EVT-00103
eacab5ee97,Thranan Directorate,1000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00104
7ec564c9db,Scientific Valex Union,1000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,822465629.8294786,EVT-00105
2e4e7545f5,Unified Xenian Council,1000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00106
b1f20b8a8c,The Aurelan Federation,1000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00107
d1ebd8161b,Unified Meran Council,1000,Civil War,Societal division erupted into widespread civil war. Transitioned to Monarchy.,-50.0,-179278851.17509598,EVT-00108
81714ff4c3,Consolidated Xenari Worlds,1000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-789882392.2475785,EVT-00109
e12feef736,Scientific Kaeluman Union,1000,Government Reform,The political structures peacefully reformed. Transitioned from Monarchy to Scientific Council.,0.0,0.0,EVT-00110
350e107aae,Allied Aurelan Systems,1000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1167589424.80763,EVT-00111
c3b1779520,Aurelis Commonwealth,1000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-14655639.908464774,EVT-00112
8e65d7f5b1,Scientific Zeloid Union,1000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00113
4bf29f7756,Scientific Zylaroid Union,1000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,606059582.7861475,EVT-00114
18daa88e4f,Scientific Rho-perseis Union,1000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-116444320.00341485,EVT-00115
f03d90fb8f,Thranite Directorate,1000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00116
f8c1278b86,Consolidated Zelis Worlds,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,365723338.14230144,EVT-00117
15286fa1f5,Consolidated Zelari Worlds,10000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-348350965.3138387,EVT-00118
c7c9fca9a1,Unified Aethelgardis Council,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00119
ea27a17ca6,The Meris Federation,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-843205212.7402482,EVT-00120
7315025cfd,Unified Aurelari Council,10000,Government Reform,The political structures peacefully reformed. Transitioned from Federation to Scientific Council.,0.0,0.0,EVT-00121
155f4eead5,The Aethelgardan Federation,10000,Government Reform,The political structures peacefully reformed. Transitioned from Democracy to Democracy.,0.0,0.0,EVT-00122
c7a93adf27,The Thranis Federation,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00123
df2217070a,Allied Thranari Systems,10000,Government Reform,The political structures peacefully reformed. Transitioned from Federation to Technocracy.,0.0,0.0,EVT-00124
c64460376e,Gamma-orionis Directorate,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00125
6dfc531f16,Unified Xenis Council,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Scientific Council.,-50.0,-508243167.718801,EVT-00126
65ea513ebb,Unified Sagittarian Council,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00127
e3ba98a843,Unified Valoid Council,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00128
947f74a852,Allied Sagittariite Systems,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00129
e23dc5e375,Republic of Galactician,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00130
6957a14d13,Xenian Directorate,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,1148129395.4787388,EVT-00131
6657429a7c,Unified Ignis-ivis Council,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00132
5578b4053f,Unified Zylaris Council,10000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-1404839191.755078,EVT-00133
a987357567,Scientific Thranite Union,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00134
208f64f5f9,Scientific Sagittarian Union,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-5912396800.047286,EVT-00135
609e70586f,Scientific Kaeluman Union,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00136
a866d8dcfc,Zelis Directorate,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00137
a31575c86a,Unified Orionex Council,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00138
7652ec5c8d,Unified Theta-perseis Council,10000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-1433541090.672681,EVT-00139
517cb43ce0,Scientific Solan Union,10000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-39412445.06114026,EVT-00140
bda6417e80,Scientific Persean Union,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00141
56cd534bb7,The Persean Federation,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,218970334.27536988,EVT-00142
d957806d32,Galactician Commonwealth,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00143
6a9427ac16,Consolidated Prometheian Worlds,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Scientific Council.,-50.0,-2292169686.5951395,EVT-00144
71f4e16f01,Primite Directorate,10000,Government Reform,The political structures peacefully reformed. Transitioned from Democracy to Monarchy.,0.0,0.0,EVT-00145
71f4e16f01,Primite Directorate,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1459929716.8037388,EVT-00146
b8c054770f,Beta-bulgis Directorate,10000,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to Democracy.,0.0,0.0,EVT-00147
1bc76d1c73,Consolidated Orionis Worlds,10000,Government Reform,The political structures peacefully reformed. Transitioned from Collective to Scientific Council.,0.0,0.0,EVT-00148
0e67dd57aa,Unified Valis Council,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00149
2b478a564d,Aurelian Commonwealth,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00150
06f00def5a,Scientific Aureliite Union,10000,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to Federation.,0.0,0.0,EVT-00151
80d9c3cc28,Vesperian Directorate,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00152
ad47c2dda3,Bulgite Commonwealth,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00153
3557fb1c6f,Allied Kaelumex Systems,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Monarchy.,-50.0,-506632734.9699813,EVT-00154
c4d87c45ee,Unified Bulgite Council,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Technocracy.,-50.0,-5506824820.059332,EVT-00155
634ad45f7e,Scientific Aurelan Union,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00156
75912c8e4c,Kaelumari Directorate,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00157
d07bc4ae63,Scientific Valian Union,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-5555441227.872984,EVT-00158
9696ce2491,Scientific Vesperari Union,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1354752184.070749,EVT-00159
7036dbff3e,Scientific Orionite Union,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Collective.,-50.0,-3699967528.345182,EVT-00160
3779c3fe76,Unified Zelian Council,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00161
53856bd8ca,Allied Sagittariian Systems,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Technocracy.,-50.0,-2259877088.312518,EVT-00162
f2bbbfc167,Bulgan Commonwealth,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00163
28d83c4b42,Scientific Bulgite Union,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Federation.,-50.0,-5219054347.177084,EVT-00164
adc1c77061,Unified Thranis Council,10000,Government Reform,The political structures peacefully reformed. Transitioned from Scientific Council to Collective.,0.0,0.0,EVT-00165
7ba9deb67e,Consolidated Xenoid Worlds,10000,Technological Leap,A paradigm-shifting breakthrough fast-forwarded research catalogs by 15%.,0.0,0.0,EVT-00166
41e5776038,Unified Orionan Council,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00167
1a2a63b5eb,Allied Thranian Systems,10000,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to Scientific Council.,0.0,0.0,EVT-00168
8e17c1b492,Solex Commonwealth,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,58573834.96517494,EVT-00169
2a8b6fc81d,Unified Zylarite Council,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Technocracy.,-50.0,-1834209143.3831496,EVT-00170
91474e8269,Vesperian Directorate,10000,Government Reform,The political structures peacefully reformed. Transitioned from Technocracy to AI Governance.,0.0,0.0,EVT-00171
bbf8578e8c,Unified Orionite Council,10000,Civil War,Societal division erupted into widespread civil war. Transitioned to Democracy.,-50.0,-1836312877.4794092,EVT-00172
8478dfd6f7,Merari Directorate,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00173
b12b67a0db,Unified Zelian Council,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00174
43cb04ad80,Xenoid Directorate,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,349225675.22767097,EVT-00175
0fa7096d5a,Zelis Directorate,10000,Government Reform,The political structures peacefully reformed. Transitioned from Collective to Federation.,0.0,0.0,EVT-00176
1a67be5b7f,Scientific Zelite Union,10000,Scientific Breakthrough,Scientists discovered major fundamental particles. Innovation and tech progress spiked.,0.0,0.0,EVT-00177
0130446f7e,Scientific Kaelumis Union,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-979289745.7471093,EVT-00178
4c2540c708,Unified Orionoid Council,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,1058186058.093969,EVT-00179
e12feef736,Scientific Kaeluman Union,10000,Dark Age,Scientific suppression and governance stagnation ushered in a dark epoch.,-20.0,0.0,EVT-00180
0cb785b3d6,Kaelumite Commonwealth,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00181
83c39baf65,Zylarite Directorate,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00182
80ce70725d,Scientific Kaelumian Union,10000,Energy Crisis,Depletion of baseline power grids caused severe blackouts and standard of living drops.,-15.0,-522617461.07644105,EVT-00183
5fec320399,Unified Orionan Council,10000,Economic Boom,Trade networks and industrial automation boosted the planetary economy.,10.0,439831737.3570702,EVT-00184
f7ed0ea8ba,Thranari Commonwealth,10000,Golden Age,Artistic growth and trust in institutions generated a glorious Era of Harmony.,20.0,0.0,EVT-00185
85aec51e58,Consolidated Thranoid Worlds,10000,Planetary Disaster,A massive meteor impact or climatic collapse ravaged cities across the hemisphere.,-30.0,-1388509156.7717862,EVT-00186
f8c1278b86,Consolidated Zelis Worlds,100000,Government Reform,The political structures peacefully reformed. Transitioned from Monarchy to Democracy.,0.0,0.0,EVT-00187
4836a15586,Scientific Valan Union,100000,Government Reform,The political structures peacefully reformed. Transitioned from AI Governance to Federation.,0.0,0.0,EVT-00188
