compression_scale,start_year,end_year,summary
100 Years,101100,101200,"Colonization (Yr 101133): In Year 101133, colonial fleets from The Scientific Star Emp..."
100 Years,101200,101300,"Wormhole Collapse (Yr 101229): In Year 101229, a rogue AI network in The Great Scientific I... | Trade Agreement (Yr 101291): In Year 101291, a gold rush of rare FTL fuel elements trigge..."
100 Years,101300,101400,"Alliance Formation (Yr 101364): In Year 101364, diplomatic relations between The Unified Tec..."
100 Years,101400,101500,"Wormhole Collapse (Yr 101445): In Year 101445, a mysterious cosmic pandemic swept through S..."
100 Years,101500,101600,"Defense Pact (Yr 101533): In Year 101533, the The Consolidated Beta-bulgis Systems and..."
100 Years,101600,101700,"Defense Pact (Yr 101611): In Year 101611, the The Scientific Star Empire and The Conso... | Alliance Formation (Yr 101665): In Year 101665, the The Great Allied Imperium and The Great ..."
100 Years,101700,101800,"Defense Pact (Yr 101732): In Year 101732, The Consolidated Technocracy acted as a peac... | Colonization (Yr 101788): In Year 101788, The Consolidated Scientific Systems establis..."
100 Years,101800,101900,"War End (Yr 101879): In Year 101879, The Consolidated Star Empire successfully an..."
100 Years,101900,102000,"Peace Treaty Signing (Yr 101941): In Year 101941, diplomatic relations between The Unified AI ..."
100 Years,102000,102100,"Planetary Invasion (Yr 102026): In Year 102026, the joint fleets of The Allied Technocracy a..."
100 Years,102100,102200,"Megastructure Completion (Yr 102176): In Year 102176, The Unified Technocracy successfully complet... | Scientific Breakthrough (Yr 102102): In Year 102102, The Unified Technocracy successfully complet..."
100 Years,102200,102300,"Colony Assault (Yr 102244): In Year 102244, the joint fleets of The Great Unified Imperi..."
100 Years,102300,102400,"Pandemic Event (Yr 102331): In Year 102331, a mysterious cosmic pandemic swept through O..."
100 Years,102400,102500,"Colonization (Yr 102419): In Year 102419, The Unified Star Empire established a scienc... | Colonization (Yr 102474): In Year 102474, The Unified Technocracy established a scienc..."
100 Years,102500,102600,"Colonization (Yr 102549): In Year 102549, The Great Allied Imperium established a scie..."
100 Years,102600,102700,"Colony Assault (Yr 102638): In Year 102638, a devastating fleet battle occurred in the V..."
100 Years,102700,102800,"Colonization (Yr 102795): In Year 102795, colonial fleets from The Great Scientific Im... | Trade Agreement (Yr 102703): In Year 102703, resource depletion in the Rigel Arm sector c..."
100 Years,102800,102900,"Wormhole Collapse (Yr 102862): In Year 102862, the FTL jump gate in Betelgeuse Arm suffered..."
100 Years,102900,103000,"Planetary Invasion (Yr 102928): In Year 102928, a skirmish broke out in Sagittarius Prime be..."
100 Years,103000,103100,"Colonization (Yr 103027): In Year 103027, colonial fleets from The Unified Technocracy... | Colonization (Yr 103084): In Year 103084, a joint colony was founded in Arcturus Arm b..."
100 Years,103100,103200,"War Declaration (Yr 103161): In Year 103161, The Great Unified Imperium successfully anne..."
100 Years,103200,103300,"Colonization (Yr 103254): In Year 103254, The Scientific Technocracy established a sci..."
100 Years,103300,103400,"Scientific Breakthrough (Yr 103314): In Year 103314, the The Consolidated Merari Systems complete..."
100 Years,103400,103500,"Trade Agreement (Yr 103406): In Year 103406, a gold rush of rare FTL fuel elements trigge... | Trade Agreement (Yr 103485): In Year 103485, The Valis AI Hegemony experienced a massive ..."
100 Years,103500,103600,"Market Crash (Yr 103552): In Year 103552, resource depletion in the Polaris Prime sect..."
100 Years,103600,103700,"FTL Network Failure (Yr 103618): In Year 103618, a rogue AI network in The Xenan Technocracy ..."
100 Years,103700,103800,"Scientific Breakthrough (Yr 103718): In Year 103718, The Great Unified Imperium successfully comp..."
100 Years,103800,103900,"FTL Network Failure (Yr 103867): In Year 103867, a rogue AI network in The Consolidated Unifi... | Colony Assault (Yr 103813): In Year 103813, the joint fleets of The Solite Technocracy a..."
100 Years,103900,104000,"Economic Collapse (Yr 103959): In Year 103959, industrial megacorporations in The Great Bul..."
100 Years,104000,104100,"Pandemic Event (Yr 104033): In Year 104033, the FTL jump gate in Perseus Sigma suffered ... | Pandemic Event (Yr 104096): In Year 104096, the FTL jump gate in Castor Beta suffered a ..."
100 Years,104100,104200,"Colonization (Yr 104176): In Year 104176, The Thranari Technocracy established a scien..."
100 Years,104200,104300,"Colonization (Yr 104274): In Year 104274, colonial fleets from The Great Unified Imper..."
100 Years,104300,104400,"AI Uprising (Yr 104339): In Year 104339, a catastrophic solar flare in Aldebaran Expa..."
100 Years,104400,104500,"Alliance Formation (Yr 104414): In Year 104414, the The Unified Technocracy and The Great Al..."
100 Years,104500,104600,"Megastructure Completion (Yr 104587): In Year 104587, The Scientific Technocracy successfully comp... | Colony Assault (Yr 104508): In Year 104508, a devastating fleet battle occurred in the C..."
100 Years,104600,104700,"Colonization (Yr 104685): In Year 104685, a joint colony was founded in Antares Sigma ..."
100 Years,104700,104800,"Galactic Federation (Yr 104739): In Year 104739, the The Consolidated Unified Systems and The..."
100 Years,104800,104900,"Scientific Breakthrough (Yr 104887): In Year 104887, the The Aurelis Technocracy completed the co... | Colonization (Yr 104803): In Year 104803, a joint colony was founded in Procyon Expans..."
100 Years,104900,105000,"Scientific Breakthrough (Yr 104985): In Year 104985, a breakthrough in zero-point energy generati..."
100 Years,105000,105100,"Scientific Breakthrough (Yr 105082): In Year 105082, a breakthrough in zero-point energy generati..."
100 Years,105100,105200,"Colonization (Yr 105174): In Year 105174, The Great Thranite Imperium established a sc..."
100 Years,105200,105300,"Planetary Invasion (Yr 105260): In Year 105260, a skirmish broke out in Castor Major between..."
100 Years,105300,105400,"Trade Agreement (Yr 105326): In Year 105326, resource depletion in the Capella Sigma sect..."
100 Years,105400,105500,"War End (Yr 105402): In Year 105402, the The Great Vesperari Imperium launched a ... | Colonization (Yr 105493): In Year 105493, colonial fleets from The Great Valoid Imperi..."
100 Years,105500,105600,"Colonization (Yr 105551): In Year 105551, a joint colony was founded in Betelgeuse Neb..."
100 Years,105600,105700,"Galactic Federation (Yr 105639): In Year 105639, the The Consolidated Unified Systems and The..."
100 Years,105700,105800,"Colony Assault (Yr 105734): In Year 105734, a devastating fleet battle occurred in the R..."
100 Years,105800,105900,"Economic Collapse (Yr 105820): In Year 105820, industrial megacorporations in The Great Mer... | War End (Yr 105896): In Year 105896, The Consolidated Epsilon-perseis Systems suc..."
100 Years,105900,106000,"Pandemic Event (Yr 105957): In Year 105957, a catastrophic solar flare in Betelgeuse Neb..."
100 Years,106000,106100,"Economic Collapse (Yr 106022): In Year 106022, The Aurelan Technocracy experienced a massiv..."
100 Years,106100,106200,"AI Uprising (Yr 106191): In Year 106191, a mysterious cosmic pandemic swept through P... | Peace Treaty Signing (Yr 106103): In Year 106103, diplomatic relations between The Consolidate..."
100 Years,106200,106300,"Colonization (Yr 106289): In Year 106289, a joint colony was founded in Castor Prime b..."
100 Years,106300,106400,"Scientific Breakthrough (Yr 106357): In Year 106357, a breakthrough in zero-point energy generati..."
100 Years,106400,106500,"Megastructure Completion (Yr 106440): In Year 106440, a breakthrough in zero-point energy generati..."
100 Years,106500,106600,"Colonization (Yr 106504): In Year 106504, The Unified Star Empire established a scienc..."
100 Years,106600,106700,"Planetary Invasion (Yr 106662): In Year 106662, the joint fleets of The Great Theta-orionis ... | Market Crash (Yr 106601): In Year 106601, a gold rush of rare FTL fuel elements trigge..."
100 Years,106700,106800,"Colonization (Yr 106730): In Year 106730, colonial fleets from The Great Xenex Imperiu..."
100 Years,106800,106900,"Alliance Formation (Yr 106808): In Year 106808, the The Great Bulgite Imperium and The Great... | Scientific Breakthrough (Yr 106862): In Year 106862, researchers in The Sigma-orionis Star Empire..."
100 Years,106900,107000,"Pandemic Event (Yr 106919): In Year 106919, a mysterious cosmic pandemic swept through C... | Economic Event (Yr 106988): In Year 106988, a gold rush of rare FTL fuel elements trigge..."
100 Years,107000,107100,"Defense Pact (Yr 107043): In Year 107043, the The Consolidated Allied Systems and The ..."
100 Years,107100,107200,"Economic Event (Yr 107131): In Year 107131, The Unified Technocracy experienced a massiv..."
100 Years,107200,107300,"Orbital Battle (Yr 107283): In Year 107283, The Great Unified Imperium successfully anne... | Trade Agreement (Yr 107224): In Year 107224, resource depletion in the Antares Major sect..."
100 Years,107300,107400,"Colonization (Yr 107362): In Year 107362, The Great Scientific Imperium established a ..."
100 Years,107400,107500,"Megastructure Completion (Yr 107450): In Year 107450, a breakthrough in zero-point energy generati..."
100 Years,107500,107600,"AI Uprising (Yr 107543): In Year 107543, a mysterious cosmic pandemic swept through C..."
100 Years,107600,107700,"Colonization (Yr 107630): In Year 107630, colonial fleets from The Scientific AI Hegem..."
100 Years,107700,107800,"Galactic Federation (Yr 107722): In Year 107722, The Zylarian Technocracy acted as a peace me..."
100 Years,107800,107900,"Scientific Breakthrough (Yr 107820): In Year 107820, a breakthrough in zero-point energy generati... | Scientific Breakthrough (Yr 107870): In Year 107870, the The Scientific Technocracy completed the..."
100 Years,107900,108000,"Trade Agreement (Yr 107923): In Year 107923, industrial megacorporations in The Consolida..."
100 Years,108000,108100,"Planetary Invasion (Yr 108070): In Year 108070, a devastating fleet battle occurred in the R... | Colonization (Yr 108013): In Year 108013, The Orionite Technocracy established a scien..."
100 Years,108100,108200,"Megastructure Completion (Yr 108137): In Year 108137, the The Zelian AI Hegemony completed the con..."
100 Years,108200,108300,"War Declaration (Yr 108225): In Year 108225, a skirmish broke out in Betelgeuse Prime bet..."
100 Years,108300,108400,"Pandemic Event (Yr 108321): In Year 108321, a catastrophic solar flare in Castor Arm des... | Pandemic Event (Yr 108393): In Year 108393, a catastrophic solar flare in Polaris Beta d..."
100 Years,108400,108500,"Peace Treaty Signing (Yr 108458): In Year 108458, the The Great Allied Imperium and The Great ..."
100 Years,108500,108600,"Scientific Breakthrough (Yr 108550): In Year 108550, the The Scientific Technocracy completed the..."
100 Years,108600,108700,"Resource Catastrophe (Yr 108628): In Year 108628, a rogue AI network in The Kaelumis Technocra..."
100 Years,108700,108800,"Economic Collapse (Yr 108708): In Year 108708, a gold rush of rare FTL fuel elements trigge..."
100 Years,108800,108900,"AI Uprising (Yr 108803): In Year 108803, a rogue AI network in The Meroid Technocracy... | Planetary Invasion (Yr 108858): In Year 108858, the The Orionan Star Empire launched a surpr..."
100 Years,108900,109000,"Market Crash (Yr 108928): In Year 108928, industrial megacorporations in The Vesperian..."
100 Years,109000,109100,"Defense Pact (Yr 109014): In Year 109014, the The Unified Technocracy and The Great Sc..."
100 Years,109100,109200,"Peace Treaty Signing (Yr 109101): In Year 109101, the The Aureloid Star Empire and The Great C... | War End (Yr 109194): In Year 109194, The Great Consolidated Imperium successfully..."
100 Years,109200,109300,"Megastructure Completion (Yr 109263): In Year 109263, researchers in The Consolidated Soloid Syste..."
100 Years,109300,109400,"FTL Network Failure (Yr 109399): In Year 109399, a mysterious cosmic pandemic swept through B... | Colonization (Yr 109331): In Year 109331, The Great Solex Imperium established a scien..."
100 Years,109400,109500,"Economic Collapse (Yr 109455): In Year 109455, a gold rush of rare FTL fuel elements trigge..."
100 Years,109500,109600,"Economic Collapse (Yr 109592): In Year 109592, industrial megacorporations in The Unified A... | Defense Pact (Yr 109525): In Year 109525, diplomatic relations between The Vesperis St..."
100 Years,109600,109700,"Peace Treaty Signing (Yr 109646): In Year 109646, the The Consolidated Star Empire and The Mer..."
100 Years,109700,109800,"Megastructure Completion (Yr 109730): In Year 109730, a breakthrough in zero-point energy generati... | Colony Assault (Yr 109794): In Year 109794, the joint fleets of The Great Unified Imperi..."
100 Years,109800,109900,"Colonization (Yr 109873): In Year 109873, colonial fleets from The Scientific AI Hegem..."
100 Years,109900,110000,"Defense Pact (Yr 109930): In Year 109930, The Great Valari Imperium acted as a peace m..."
100 Years,110000,110100,"Megastructure Completion (Yr 110021): In Year 110021, a breakthrough in zero-point energy generati... | Economic Event (Yr 110099): In Year 110099, industrial megacorporations in The Consolida..."
100 Years,110100,110200,"War End (Yr 110166): In Year 110166, the The Great Thranan Imperium launched a su..."
100 Years,110200,110300,"Defense Pact (Yr 110237): In Year 110237, the The Consolidated Xi-sagittariis Systems ..."
100 Years,110300,110400,"Alliance Formation (Yr 110301): In Year 110301, the The Great Unified Imperium and The Great... | Colonization (Yr 110362): In Year 110362, colonial fleets from The Great Unified Imper..."
100 Years,110400,110500,"Orbital Battle (Yr 110423): In Year 110423, a skirmish broke out in Orion Reach between ..."
100 Years,110500,110600,"Pandemic Event (Yr 110522): In Year 110522, a rogue AI network in The Consolidated Unifi..."
100 Years,110600,110700,"Scientific Breakthrough (Yr 110622): In Year 110622, researchers in The Scientific AI Hegemony ac... | Colonization (Yr 110678): In Year 110678, colonial fleets from The Great Unified Imper..."
100 Years,110700,110800,"Refugee Crisis (Yr 110736): In Year 110736, the FTL jump gate in Rigel Reach suffered a ..."
100 Years,110800,110900,"Economic Collapse (Yr 110888): In Year 110888, resource depletion in the Centauri Nebula se... | Planetary Invasion (Yr 110824): In Year 110824, the The Thranite Technocracy launched a surp..."
100 Years,110900,111000,"Trade Agreement (Yr 110958): In Year 110958, resource depletion in the Orion Minor sector..."
100 Years,111000,111100,"Alliance Formation (Yr 111014): In Year 111014, the The Scientific Technocracy and The Great..."
100 Years,111100,111200,"Peace Treaty Signing (Yr 111194): In Year 111194, diplomatic relations between The Consolidate... | Colonization (Yr 111112): In Year 111112, The Aurelian Star Empire established a scien..."
100 Years,111200,111300,"Wormhole Collapse (Yr 111251): In Year 111251, a catastrophic solar flare in Perseus Sigma ..."
100 Years,111300,111400,"Colonization (Yr 111312): In Year 111312, The Great Galactican Imperium established a ..."
100 Years,111400,111500,"Galactic Federation (Yr 111483): In Year 111483, the The Kaelumis Technocracy and The Orionia... | Orbital Battle (Yr 111404): In Year 111404, the The Consolidated Star Empire launched a ..."
100 Years,111500,111600,"Colonization (Yr 111543): In Year 111543, The Scientific AI Hegemony established a sci..."
100 Years,111600,111700,"Trade Agreement (Yr 111621): In Year 111621, a gold rush of rare FTL fuel elements trigge..."
100 Years,111700,111800,"Refugee Crisis (Yr 111714): In Year 111714, the FTL jump gate in Capella Prime suffered ... | Defense Pact (Yr 111777): In Year 111777, the The Sigma-orionis Star Empire and The Gr..."
100 Years,111800,111900,"Defense Pact (Yr 111874): In Year 111874, The Aurelian AI Hegemony acted as a peace me..."
100 Years,111900,112000,"War End (Yr 111966): In Year 111966, the The Bulgian Technocracy launched a surpr..."
100 Years,112000,112100,"Resource Catastrophe (Yr 112052): In Year 112052, a catastrophic solar flare in Capella Prime ..."
100 Years,112100,112200,"AI Uprising (Yr 112199): In Year 112199, a catastrophic solar flare in Polaris Beta d... | Colonization (Yr 112112): In Year 112112, colonial fleets from The Bulgian Technocracy..."
100 Years,112200,112300,"Colony Assault (Yr 112298): In Year 112298, the The Scientific Technocracy launched a su..."
100 Years,112300,112400,"Alliance Formation (Yr 112394): In Year 112394, diplomatic relations between The Scientific ..."
100 Years,112400,112500,"Peace Treaty Signing (Yr 112492): In Year 112492, The Scientific AI Hegemony acted as a peace ..."
100 Years,112500,112600,"Scientific Breakthrough (Yr 112562): In Year 112562, The Scientific AI Hegemony successfully comp..."
100 Years,112600,112700,"AI Uprising (Yr 112615): In Year 112615, the FTL jump gate in Sagittarius Prime suffe... | Colonization (Yr 112683): In Year 112683, a joint colony was founded in Capella Reach ..."
100 Years,112700,112800,"Scientific Breakthrough (Yr 112768): In Year 112768, a breakthrough in zero-point energy generati..."
100 Years,112800,112900,"Colonization (Yr 112824): In Year 112824, a joint colony was founded in Sagittarius Be..."
100 Years,112900,113000,"Pandemic Event (Yr 112902): In Year 112902, a mysterious cosmic pandemic swept through R..."
100 Years,113000,113100,"Colonization (Yr 113001): In Year 113001, a joint colony was founded in Orion Nebula b... | Market Crash (Yr 113086): In Year 113086, The Consolidated Persean Systems experienced..."
100 Years,113100,113200,"Alliance Formation (Yr 113177): In Year 113177, the The Consolidated Delta-bulgis Systems an..."
100 Years,113200,113300,"Colonization (Yr 113271): In Year 113271, a joint colony was founded in Arcturus Sigma..."
100 Years,113300,113400,"Scientific Breakthrough (Yr 113334): In Year 113334, the The Consolidated Thranian Systems comple..."
100 Years,113400,113500,"Pandemic Event (Yr 113434): In Year 113434, a rogue AI network in The Great Unified Impe... | Colonization (Yr 113494): In Year 113494, a joint colony was founded in Procyon Nebula..."
100 Years,113500,113600,"Megastructure Completion (Yr 113590): In Year 113590, The Great Meran Imperium successfully comple..."
100 Years,113600,113700,"Galactic Federation (Yr 113690): In Year 113690, The Consolidated Technocracy acted as a peac..."
100 Years,113700,113800,"Defense Pact (Yr 113773): In Year 113773, diplomatic relations between The Great Xenex..."
100 Years,113800,113900,"Colonization (Yr 113858): In Year 113858, The Great Allied Imperium established a scie..."
100 Years,113900,114000,"FTL Network Failure (Yr 113993): In Year 113993, a mysterious cosmic pandemic swept through A... | Scientific Breakthrough (Yr 113940): In Year 113940, the The Scientific Technocracy completed the..."
100 Years,114000,114100,"Colonization (Yr 114063): In Year 114063, colonial fleets from The Consolidated Thrani..."
100 Years,114100,114200,"Scientific Breakthrough (Yr 114121): In Year 114121, researchers in The Orionian Technocracy achi..."
100 Years,114200,114300,"War Declaration (Yr 114217): In Year 114217, a devastating fleet battle occurred in the S..."
100 Years,114300,114400,"Economic Collapse (Yr 114372): In Year 114372, a gold rush of rare FTL fuel elements trigge... | Deep Space Engagement (Yr 114307): In Year 114307, a skirmish broke out in Perseus Arm between ..."
100 Years,114400,114500,"FTL Network Failure (Yr 114464): In Year 114464, a rogue AI network in The Great Unified Impe..."
100 Years,114500,114600,"Market Crash (Yr 114516): In Year 114516, a gold rush of rare FTL fuel elements trigge..."
100 Years,114600,114700,"Refugee Crisis (Yr 114612): In Year 114612, the FTL jump gate in Arcturus Arm suffered a..."
100 Years,114700,114800,"War Declaration (Yr 114798): In Year 114798, a devastating fleet battle occurred in the A... | Colonization (Yr 114703): In Year 114703, a joint colony was founded in Sirius Major b..."
100 Years,114800,114900,"Resource Catastrophe (Yr 114867): In Year 114867, the FTL jump gate in Aldebaran Sigma suffere..."
100 Years,114900,115000,"Colonization (Yr 114966): In Year 114966, The Great Unified Imperium established a sci..."
100 Years,115000,115100,"Megastructure Completion (Yr 115063): In Year 115063, the The Great Scientific Imperium completed ..."
100 Years,115100,115200,"Planetary Invasion (Yr 115146): In Year 115146, a skirmish broke out in Sirius Arm between T..."
100 Years,115200,115300,"War Declaration (Yr 115216): In Year 115216, The Zylaran AI Hegemony successfully annexed... | Scientific Breakthrough (Yr 115294): In Year 115294, a breakthrough in zero-point energy generati..."
100 Years,115300,115400,"Trade Agreement (Yr 115386): In Year 115386, a gold rush of rare FTL fuel elements trigge..."
100 Years,115400,115500,"Colonization (Yr 115440): In Year 115440, The Primite Star Empire established a scienc..."
100 Years,115500,115600,"Economic Collapse (Yr 115518): In Year 115518, a gold rush of rare FTL fuel elements trigge..."
100 Years,115600,115700,"Alliance Formation (Yr 115609): In Year 115609, the The Consolidated Unified Systems and The... | Market Crash (Yr 115694): In Year 115694, resource depletion in the Rigel Reach sector..."
100 Years,115700,115800,"War End (Yr 115751): In Year 115751, a devastating fleet battle occurred in the C..."
100 Years,115800,115900,"Colonization (Yr 115844): In Year 115844, a joint colony was founded in Rigel Sigma by..."
100 Years,115900,116000,"Trade Agreement (Yr 115904): In Year 115904, a gold rush of rare FTL fuel elements trigge... | Market Crash (Yr 115985): In Year 115985, resource depletion in the Vega Minor sector ..."
100 Years,116000,116100,"Colonization (Yr 116054): In Year 116054, a joint colony was founded in Procyon Minor ..."
100 Years,116100,116200,"Megastructure Completion (Yr 116124): In Year 116124, a breakthrough in zero-point energy generati..."
100 Years,116200,116300,"FTL Network Failure (Yr 116270): In Year 116270, a rogue AI network in The Consolidated Allie... | Colony Assault (Yr 116206): In Year 116206, a devastating fleet battle occurred in the S..."
100 Years,116300,116400,"Refugee Crisis (Yr 116339): In Year 116339, a mysterious cosmic pandemic swept through V..."
100 Years,116400,116500,"AI Uprising (Yr 116428): In Year 116428, a rogue AI network in The Consolidated Allie..."
100 Years,116500,116600,"Economic Collapse (Yr 116579): In Year 116579, a gold rush of rare FTL fuel elements trigge... | Refugee Crisis (Yr 116514): In Year 116514, a rogue AI network in The Great Scientific I..."
100 Years,116600,116700,"Galactic Federation (Yr 116659): In Year 116659, diplomatic relations between The Consolidate..."
100 Years,116700,116800,"Pandemic Event (Yr 116717): In Year 116717, a rogue AI network in The Consolidated Unifi... | Alliance Formation (Yr 116795): In Year 116795, the The Sigma-orionis Star Empire and The Io..."
100 Years,116800,116900,"Defense Pact (Yr 116865): In Year 116865, The Thranari Technocracy acted as a peace me..."
100 Years,116900,117000,"Megastructure Completion (Yr 116916): In Year 116916, the The Great Cygnan Imperium completed the ... | Refugee Crisis (Yr 116984): In Year 116984, a catastrophic solar flare in Perseus Minor ..."
100 Years,117000,117100,"Colonization (Yr 117042): In Year 117042, The Great Unified Imperium established a sci..."
100 Years,117100,117200,"Market Crash (Yr 117127): In Year 117127, a gold rush of rare FTL fuel elements trigge..."
100 Years,117200,117300,"Alliance Formation (Yr 117216): In Year 117216, The Great Consolidated Imperium acted as a p..."
100 Years,117300,117400,"Peace Treaty Signing (Yr 117314): In Year 117314, the The Great Solis Imperium and The Great U... | Defense Pact (Yr 117394): In Year 117394, the The Consolidated Unified Systems and The..."
100 Years,117400,117500,"FTL Network Failure (Yr 117483): In Year 117483, a catastrophic solar flare in Rigel Reach de..."
100 Years,117500,117600,"Economic Event (Yr 117534): In Year 117534, resource depletion in the Perseus Reach sect..."
100 Years,117600,117700,"Colonization (Yr 117625): In Year 117625, a joint colony was founded in Capella Major ..."
100 Years,117700,117800,"Colony Assault (Yr 117718): In Year 117718, the The Great Unified Imperium launched a su... | Colonization (Yr 117777): In Year 117777, The Great Scientific Imperium established a ..."
100 Years,117800,117900,"FTL Network Failure (Yr 117835): In Year 117835, a catastrophic solar flare in Polaris Major ..."
100 Years,117900,118000,"FTL Network Failure (Yr 117919): In Year 117919, the FTL jump gate in Aldebaran Beta suffered..."
100 Years,118000,118100,"Galactic Federation (Yr 118004): In Year 118004, the The Unified AI Hegemony and The Consolid... | Economic Event (Yr 118076): In Year 118076, resource depletion in the Arcturus Major sec..."
100 Years,118100,118200,"Refugee Crisis (Yr 118190): In Year 118190, the FTL jump gate in Antares Beta suffered a... | Colonization (Yr 118128): In Year 118128, The Great Scientific Imperium established a ..."
100 Years,118200,118300,"Colonization (Yr 118282): In Year 118282, colonial fleets from The Great Unified Imper..."
100 Years,118300,118400,"Colony Assault (Yr 118375): In Year 118375, a devastating fleet battle occurred in the P..."
100 Years,118400,118500,"Market Crash (Yr 118437): In Year 118437, a gold rush of rare FTL fuel elements trigge..."
100 Years,118500,118600,"Peace Treaty Signing (Yr 118534): In Year 118534, diplomatic relations between The Great Conso..."
100 Years,118600,118700,"Deep Space Engagement (Yr 118631): In Year 118631, The Consolidated Unified Systems successfull..."
100 Years,118700,118800,"Peace Treaty Signing (Yr 118710): In Year 118710, the The Galactician Star Empire and The Scie..."
100 Years,118800,118900,"Peace Treaty Signing (Yr 118899): In Year 118899, The Thranari Technocracy acted as a peace me... | Colonization (Yr 118806): In Year 118806, a joint colony was founded in Polaris Sigma ..."
100 Years,118900,119000,"Peace Treaty Signing (Yr 118955): In Year 118955, the The Vesperari Technocracy and The Zylari..."
100 Years,119000,119100,"Planetary Invasion (Yr 119093): In Year 119093, the The Consolidated Star Empire launched a ... | Market Crash (Yr 119020): In Year 119020, industrial megacorporations in The Orionite ..."
100 Years,119100,119200,"Colonization (Yr 119175): In Year 119175, a joint colony was founded in Arcturus Beta ..."
100 Years,119200,119300,"Peace Treaty Signing (Yr 119233): In Year 119233, the The Great Meran Imperium and The Aurelia..."
100 Years,119300,119400,"Pandemic Event (Yr 119382): In Year 119382, a mysterious cosmic pandemic swept through V... | Alliance Formation (Yr 119325): In Year 119325, The Scientific AI Hegemony acted as a peace ..."
100 Years,119400,119500,"Planetary Invasion (Yr 119465): In Year 119465, a devastating fleet battle occurred in the P..."
100 Years,119500,119600,"Scientific Breakthrough (Yr 119543): In Year 119543, The Zelian AI Hegemony successfully complete..."
