tick,year,civilization_id,civilization_name,decision,reason,result
1,100,9aa2eff7c3,Persean Directorate,RESEARCH,Research priorities chosen due to curiosity (92.3) and tech potential (18.4).,Technological level increased by 0.142 to 10.143.
1,100,5db2756626,Unified Zelian Council,RESEARCH,Research priorities chosen due to curiosity (88.8) and tech potential (17.8).,Technological level increased by 0.139 to 10.151.
1,100,37df7ce9be,Unified Xenoid Council,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,63fff6610a,Meris Directorate,RESEARCH,Research priorities chosen due to curiosity (92.8) and tech potential (18.2).,Technological level increased by 0.143 to 9.722.
1,100,52d6d92e6b,Unified Xenoid Council,TRADE,Proposed trade agreement to neighbor Unified Zelian Council (distance: 0.0 LY).,Unified Zelian Council declined trade proposal from Unified Xenoid Council.
1,100,ea27a17ca6,The Meris Federation,ALLY,Diplomatic outreach for alliance sent to Unified Zelian Council (distance: 0.0 LY).,Unified Zelian Council declined alliance proposal from The Meris Federation.
1,100,962632e3ac,Zylarex Directorate,ALLY,Diplomatic outreach for alliance sent to Scientific Xenite Union (distance: 0.0 LY).,Scientific Xenite Union immediately rejected alliance from Zylarex Directorate due to low relations (4.2).
1,100,0bfb7074dd,Scientific Xenite Union,BUILD_MEGASTRUCTURE,Started construction of Ringworld to boost galactic Kardashev footprint.,Initiated Ringworld project (progress: 10%). Spent 800 resources.
1,100,626215ebea,Scientific Xenoid Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,d8145cd1f0,Aurelite Commonwealth,ALLY,Diplomatic outreach for alliance sent to Zylarex Directorate (distance: 0.0 LY).,Zylarex Directorate immediately rejected alliance from Aurelite Commonwealth due to low relations (11.5).
1,100,7315025cfd,Unified Aurelari Council,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,d853839dba,Allied Zelite Systems,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
1,100,c56a0b9792,Allied Elysiis Systems,DEFEND,High threat (69.3) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,2173a01d64,Allied Elysiian Systems,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,35390a1939,Valari Directorate,RESEARCH,Research priorities chosen due to curiosity (78.3) and tech potential (15.0).,Technological level increased by 0.128 to 9.243.
1,100,6d4e0abb77,Scientific Zelan Union,RESEARCH,Research priorities chosen due to curiosity (73.0) and tech potential (13.2).,Technological level increased by 0.123 to 8.162.
1,100,3a3695c8e9,Consolidated Galactican Worlds,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,494354518b,Unified Zylarite Council,RESEARCH,Research priorities chosen due to curiosity (75.6) and tech potential (15.1).,Technological level increased by 0.126 to 10.145.
1,100,a425d5c923,Allied Thranari Systems,BUILD_MEGASTRUCTURE,Started construction of Dyson Swarm to boost galactic Kardashev footprint.,Initiated Dyson Swarm project (progress: 10%). Spent 800 resources.
1,100,9cad00795f,Allied Aethelgardian Systems,DEFEND,High threat (71.5) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,155f4eead5,The Aethelgardan Federation,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (40.1).,Gained 300.0 resource units and +5.0 stability.
1,100,35b25d7eaf,Unified Aethelgardis Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,4e674c46b8,Aethelgardan Directorate,RESEARCH,Research priorities chosen due to curiosity (98.1) and tech potential (18.7).,Technological level increased by 0.148 to 9.219.
1,100,e4a60e62b6,Unified Zeloid Council,ALLY,Diplomatic outreach for alliance sent to Scientific Zylaroid Union (distance: 0.0 LY).,Scientific Zylaroid Union immediately rejected alliance from Unified Zeloid Council due to low relations (11.6).
1,100,24423298c0,Scientific Zylaroid Union,ALLY,Diplomatic outreach for alliance sent to Unified Zeloid Council (distance: 0.0 LY).,Unified Zeloid Council immediately rejected alliance from Scientific Zylaroid Union due to low relations (11.6).
1,100,95985a8620,Xenan Directorate,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,80be4440e8,Kaelumis Directorate,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (47.6).,Gained 300.0 resource units and +5.0 stability.
1,100,c7a93adf27,The Thranis Federation,TRADE,Proposed trade agreement to neighbor Unified Zeloid Council (distance: 0.0 LY).,Unified Zeloid Council declined trade proposal from The Thranis Federation.
1,100,df2217070a,Allied Thranari Systems,DEFEND,High threat (80.2) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,c64460376e,Gamma-orionis Directorate,DEFEND,High threat (76.9) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,53e4b98264,Unified Orionian Council,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,14c594f145,Unified Orionian Council,RESEARCH,Research priorities chosen due to curiosity (79.9) and tech potential (16.0).,Technological level increased by 0.130 to 10.131.
1,100,abb26e55dc,Consolidated Orionian Worlds,RESEARCH,Research priorities chosen due to curiosity (59.7) and tech potential (11.9).,Technological level increased by 0.110 to 10.110.
1,100,075b3fb3b1,Unified Theta-orionis Council,RESEARCH,Research priorities chosen due to curiosity (83.7) and tech potential (16.7).,Technological level increased by 0.134 to 10.141.
1,100,d401178af2,Theta-orionis Commonwealth,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,6dfc531f16,Unified Xenis Council,RESEARCH,Research priorities chosen due to curiosity (70.9) and tech potential (14.2).,Technological level increased by 0.121 to 10.124.
1,100,36b91772ac,Unified Orionis Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (20.0).,Technological level increased by 0.150 to 10.169.
1,100,3c983bfdab,Unified Vesperari Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,db90f4ff25,Unified Xenan Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (40.2).,Gained 300.0 resource units and +5.0 stability.
1,100,cfec2df928,Consolidated Zylarex Worlds,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,a189e2924d,The Thranian Federation,DEFEND,High threat (80.4) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,30e300e760,Scientific Sagittariite Union,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,65ea513ebb,Unified Sagittarian Council,RESEARCH,Research priorities chosen due to curiosity (85.7) and tech potential (17.1).,Technological level increased by 0.136 to 10.147.
1,100,6fbfc2a11d,Unified Orionite Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (41.9).,Gained 300.0 resource units and +5.0 stability.
1,100,bceea7e00e,Unified Orionan Council,DEFEND,High threat (71.8) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,9875fc03a4,Orionian Directorate,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
1,100,81601b2e5e,Unified Sigma-orionis Council,DEFEND,High threat (73.8) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,72196fa906,Sigma-orionis Commonwealth,TRADE,Proposed trade agreement to neighbor Unified Orionite Council (distance: 0.0 LY).,Unified Orionite Council declined trade proposal from Sigma-orionis Commonwealth.
1,100,3c4760ddea,Zelis Commonwealth,BUILD_MEGASTRUCTURE,Started construction of Dyson Swarm to boost galactic Kardashev footprint.,Initiated Dyson Swarm project (progress: 10%). Spent 800 resources.
1,100,9d578c755a,Scientific Zelian Union,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,23094db297,Allied Solian Systems,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,642e75a08d,Scientific Thranan Union,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,b619dd5fb5,Scientific Thranan Union,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
1,100,e3ba98a843,Unified Valoid Council,DEFEND,High threat (56.0) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,50f9748c73,Scientific Vesperex Union,RESEARCH,Research priorities chosen due to curiosity (87.6) and tech potential (17.5).,Technological level increased by 0.138 to 10.140.
1,100,3e1c9fe27e,Cygnian Directorate,TRADE,Proposed trade agreement to neighbor Gamma-cygnis Directorate (distance: 0.0 LY).,Gamma-cygnis Directorate declined trade proposal from Cygnian Directorate.
1,100,cb16d2a5bc,Gamma-cygnis Directorate,COLONIZE,Attempted colonization but lacked resources or local targets.,Fell back to local expansion: gained 150 resources.
1,100,340e3912e2,Cygnite Directorate,RESEARCH,Research priorities chosen due to curiosity (83.8) and tech potential (16.4).,Technological level increased by 0.134 to 9.749.
1,100,6ebb371c3c,The Tau-galacticis Federation,RESEARCH,Research priorities chosen due to curiosity (71.2) and tech potential (14.2).,Technological level increased by 0.121 to 10.140.
1,100,1b37c066da,Valis Commonwealth,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (48.4).,Gained 300.0 resource units and +5.0 stability.
1,100,f4a721a47f,Gamma-galacticis Directorate,RESEARCH,Research priorities chosen due to curiosity (75.1) and tech potential (13.8).,Technological level increased by 0.125 to 8.494.
1,100,63d8758b53,The Aurelex Federation,COLONIZE,Colonization wave initiated targeting nearby unoccupied system at distance 0.0 LY.,Successfully established colony on planet Webb-1026-c. Spent 400 resources.
1,100,415811daec,Solian Directorate,BUILD_MEGASTRUCTURE,Started construction of Dyson Sphere to boost galactic Kardashev footprint.,Initiated Dyson Sphere project (progress: 10%). Spent 800 resources.
1,100,cb312b9d86,Aurelex Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,53dc64803e,Scientific Orionian Union,COLONIZE,Colonization wave initiated targeting nearby unoccupied system at distance 0.0 LY.,Successfully established colony on planet Kepler-7797-d. Spent 400 resources.
1,100,5b3c302325,Scientific Bulgian Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,947f74a852,Allied Sagittariite Systems,ALLY,Diplomatic outreach for alliance sent to Unified Sagittarian Council (distance: 0.0 LY).,Unified Sagittarian Council immediately rejected alliance from Allied Sagittariite Systems due to low relations (24.8).
1,100,7df05aba52,Unified Sagittarian Council,RESEARCH,Research priorities chosen due to curiosity (77.8) and tech potential (15.6).,Technological level increased by 0.128 to 10.153.
1,100,e23dc5e375,Republic of Galactician,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (48.8).,Gained 300.0 resource units and +5.0 stability.
1,100,77811a2fa9,Gaeian Directorate,ALLY,No alliance targets found within proximity.,Fell back to defense posturing: boosted stability by +10.0.
1,100,4a9574c523,Scientific Kaelumite Union,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,e99c95009e,Merex Directorate,DEFEND,High threat (70.5) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,6957a14d13,Xenian Directorate,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (36.0).,Gained 300.0 resource units and +5.0 stability.
1,100,2a34070c99,Consolidated Persean Worlds,COLONIZE,Colonization wave initiated targeting nearby unoccupied system at distance 0.0 LY.,Successfully established colony on planet Phi Persei-e. Spent 400 resources.
1,100,4c67325ea2,Unified Persean Council,RESEARCH,Research priorities chosen due to curiosity (92.9) and tech potential (18.6).,Technological level increased by 0.143 to 10.117.
1,100,8eadd942b0,Scientific Phi-perseis Union,RESEARCH,Research priorities chosen due to curiosity (89.3) and tech potential (17.3).,Technological level increased by 0.139 to 9.490.
1,100,d2f4557294,Perseian Directorate,RESEARCH,Research priorities chosen due to curiosity (74.6) and tech potential (14.0).,Technological level increased by 0.125 to 8.867.
1,100,6657429a7c,Unified Ignis-ivis Council,RESEARCH,Research priorities chosen due to curiosity (78.0) and tech potential (15.6).,Technological level increased by 0.128 to 10.131.
1,100,5f5ebcf2f5,Solari Directorate,BUILD_MEGASTRUCTURE,Started construction of Dyson Sphere to boost galactic Kardashev footprint.,Initiated Dyson Sphere project (progress: 10%). Spent 800 resources.
1,100,5578b4053f,Unified Zylaris Council,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,095464621d,Cygnan Commonwealth,DEFEND,High threat (80.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,22e010a52d,Unified Cygnite Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,a987357567,Scientific Thranite Union,RESEARCH,Research priorities chosen due to curiosity (91.9) and tech potential (18.5).,Technological level increased by 0.142 to 10.293.
1,100,cf1fb521d7,Allied Sagittarian Systems,RESEARCH,Research priorities chosen due to curiosity (58.9) and tech potential (11.8).,Technological level increased by 0.109 to 10.115.
1,100,0895acc0af,Sagittarian Directorate,RESEARCH,Research priorities chosen due to curiosity (74.9) and tech potential (14.6).,Technological level increased by 0.125 to 9.656.
1,100,cd650c58ff,Gamma-sagittariis Directorate,ALLY,Diplomatic outreach for alliance sent to Allied Sagittarian Systems (distance: 0.0 LY).,Allied Sagittarian Systems immediately rejected alliance from Gamma-sagittariis Directorate due to low relations (26.4).
1,100,208f64f5f9,Scientific Sagittarian Union,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,a03b53100a,Orionex Directorate,DEFEND,High threat (24.2) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,2640424e04,Unified Aurelan Council,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (20.0).,Technological level increased by 0.150 to 10.161.
1,100,ad899b1ed9,The Meran Federation,DEFEND,High threat (63.7) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,b53d4251d2,Meroid Directorate,RESEARCH,Research priorities chosen due to curiosity (84.3) and tech potential (16.9).,Technological level increased by 0.134 to 10.136.
1,100,2b4452e77b,Soloid Directorate,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,7994a1ada7,Unified Bulgan Council,TRADE,Proposed trade agreement to neighbor Bulgite Directorate (distance: 0.0 LY).,Trade treaty established between Unified Bulgan Council and Bulgite Directorate.
1,100,2b100070c5,Bulgite Directorate,RESEARCH,Research priorities chosen due to curiosity (83.1) and tech potential (16.6).,Technological level increased by 0.133 to 10.135.
1,100,984d4d4161,Consolidated Vesperan Worlds,ALLY,No alliance targets found within proximity.,Fell back to defense posturing: boosted stability by +10.0.
1,100,04b742dd38,The Perseian Federation,DEFEND,High threat (8.4) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,82f9ee8fb4,The Valoid Federation,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (44.6).,Gained 300.0 resource units and +5.0 stability.
1,100,08d81107e6,Zylarian Directorate,BUILD_MEGASTRUCTURE,Started construction of Matrioshka Brain to boost galactic Kardashev footprint.,Initiated Matrioshka Brain project (progress: 10%). Spent 800 resources.
1,100,38a2dd884c,Allied Sagittariian Systems,RESEARCH,Research priorities chosen due to curiosity (47.9) and tech potential (8.3).,Technological level increased by 0.098 to 7.419.
1,100,1c90d82c80,Cygnian Directorate,BUILD_MEGASTRUCTURE,Started construction of Dyson Swarm to boost galactic Kardashev footprint.,Initiated Dyson Swarm project (progress: 10%). Spent 800 resources.
1,100,a067552faf,Consolidated Ian Worlds,BUILD_MEGASTRUCTURE,Started construction of Dyson Swarm to boost galactic Kardashev footprint.,Initiated Dyson Swarm project (progress: 10%). Spent 800 resources.
1,100,c6642b2284,Scientific Gaea-is Union,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,a222a74ae8,Zelex Directorate,TRADE,Proposed trade agreement to neighbor Scientific Kaeluman Union (distance: 0.0 LY).,Scientific Kaeluman Union declined trade proposal from Zelex Directorate.
1,100,c235dc422c,Scientific Kaeluman Union,ALLY,Diplomatic outreach for alliance sent to Zelex Directorate (distance: 0.0 LY).,Zelex Directorate immediately rejected alliance from Scientific Kaeluman Union due to low relations (-5.5).
1,100,9dbca7c528,Unified Vesperari Council,RESEARCH,Research priorities chosen due to curiosity (80.6) and tech potential (16.1).,Technological level increased by 0.131 to 10.144.
1,100,f714a79195,Scientific Orionian Union,BUILD_MEGASTRUCTURE,Started construction of Ringworld to boost galactic Kardashev footprint.,Initiated Ringworld project (progress: 10%). Spent 800 resources.
1,100,f6221e08e8,Orionian Directorate,RESEARCH,Research priorities chosen due to curiosity (91.6) and tech potential (18.3).,Technological level increased by 0.142 to 10.142.
1,100,f0cb6b0a91,Xenoid Directorate,RESEARCH,Research priorities chosen due to curiosity (86.7) and tech potential (16.4).,Technological level increased by 0.137 to 8.996.
1,100,609e70586f,Scientific Kaeluman Union,RESEARCH,Research priorities chosen due to curiosity (90.1) and tech potential (17.7).,Technological level increased by 0.140 to 9.799.
1,100,a866d8dcfc,Zelis Directorate,RESEARCH,Research priorities chosen due to curiosity (99.1) and tech potential (19.4).,Technological level increased by 0.149 to 9.713.
1,100,26a6b7dcc3,Consolidated Valan Worlds,ALLY,Diplomatic outreach for alliance sent to Xenoid Directorate (distance: 0.0 LY).,Xenoid Directorate immediately rejected alliance from Consolidated Valan Worlds due to low relations (11.9).
1,100,7be35390be,Scientific Valan Union,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (33.6).,Gained 300.0 resource units and +5.0 stability.
1,100,87f864fe83,Unified Thranari Council,DEFEND,High threat (65.1) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,3ba7df6ae1,Scientific Thranite Union,RESEARCH,Research priorities chosen due to curiosity (100.0) and tech potential (20.0).,Technological level increased by 0.150 to 10.160.
1,100,edb45b6eec,Unified Kaelumoid Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (37.3).,Gained 300.0 resource units and +5.0 stability.
1,100,fe5ce1f2b8,Consolidated Kaelumari Worlds,ALLY,Diplomatic outreach for alliance sent to Unified Orionex Council (distance: 0.0 LY).,Unified Orionex Council immediately rejected alliance from Consolidated Kaelumari Worlds due to low relations (27.6).
1,100,a31575c86a,Unified Orionex Council,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (29.6).,Gained 300.0 resource units and +5.0 stability.
1,100,7652ec5c8d,Unified Theta-perseis Council,RESEARCH,Research priorities chosen due to curiosity (88.6) and tech potential (17.7).,Technological level increased by 0.139 to 10.150.
1,100,98fbfa35fa,Sigma-orionis Commonwealth,BUILD_MEGASTRUCTURE,Started construction of Dyson Swarm to boost galactic Kardashev footprint.,Initiated Dyson Swarm project (progress: 10%). Spent 800 resources.
1,100,f0ada7121c,Consolidated Solex Worlds,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (41.3).,Gained 300.0 resource units and +5.0 stability.
1,100,6eb9b1daf2,Scientific Xenite Union,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,07a0027478,The Vesperis Federation,EXPAND,Domestic infrastructure expansion chosen to leverage opportunity score (40.4).,Gained 300.0 resource units and +5.0 stability.
1,100,187eb0978f,Scientific Merite Union,RESEARCH,Research priorities chosen due to curiosity (82.7) and tech potential (16.6).,Technological level increased by 0.133 to 10.152.
1,100,8bd71d17f7,Unified Xenis Council,DEFEND,High threat (69.3) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
1,100,7f4ec7825c,Allied Soloid Systems,RESEARCH,Research priorities chosen due to curiosity (69.7) and tech potential (12.6).,Technological level increased by 0.120 to 8.144.
1,100,a1d0ea467a,Unified Meris Council,RESEARCH,Research priorities chosen due to curiosity (99.4) and tech potential (19.9).,Technological level increased by 0.149 to 10.175.
1,100,71d820677a,The Zylaran Federation,RESEARCH,Research priorities chosen due to curiosity (57.6) and tech potential (9.4).,Technological level increased by 0.108 to 6.503.
1,100,6d2f3e5ed1,Aurelari Directorate,RESEARCH,Research priorities chosen due to curiosity (67.6) and tech potential (13.5).,Technological level increased by 0.118 to 10.123.
1,100,3339448f7c,Xenan Directorate,BUILD_MEGASTRUCTURE,Started construction of Stellar Engine to boost galactic Kardashev footprint.,Initiated Stellar Engine project (progress: 10%). Spent 800 resources.
1,100,be3191b575,Scientific Eta-galacticis Union,RESEARCH,Research priorities chosen due to curiosity (72.4) and tech potential (14.1).,Technological level increased by 0.122 to 9.662.
1,100,63f01adf18,Consolidated Galacticite Worlds,ALLY,Diplomatic outreach for alliance sent to Scientific Eta-galacticis Union (distance: 0.0 LY).,Scientific Eta-galacticis Union immediately rejected alliance from Consolidated Galacticite Worlds due to low relations (9.9).
1,100,b75dce1421,Allied Bulgite Systems,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,4c8e6a8540,Allied Bulgan Systems,RESEARCH,Research priorities chosen due to curiosity (82.5) and tech potential (14.9).,Technological level increased by 0.132 to 8.200.
1,100,76c64a14d6,Unified Orionoid Council,EXPLORE,Planetary explorer teams sent out to scout local quadrant.,Discovered cache of rare isotopes (+250 resources). Gained curiosity.
1,100,517cb43ce0,Scientific Solan Union,RESEARCH,Research priorities chosen due to curiosity (88.1) and tech potential (17.6).,Technological level increased by 0.138 to 10.140.
1,100,d378f96d17,Kaelumian Commonwealth,ISOLATE,Governance reform focused on absolute isolationism and border control.,Stability boosted (+12.0).
1,100,7664b6b371,Orionian Directorate,RESEARCH,Research priorities chosen due to curiosity (95.0) and tech potential (18.7).,Technological level increased by 0.145 to 9.850.
1,100,739bb87006,Unified Aurelex Council,DEFEND,High threat (63.3) triggered defensive military consolidation.,Stability boosted by +15.0 and stockpiled 100 resources.
