name,civilization,role,achievements,legacy_score
Aethelgard Vex,The Unified Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,95
Thalia Starlight,The Consolidated Aurelex Systems,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,95
Orion Shadow,The Aurelari Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,95
Kael Nova,The Orionite Technocracy,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",95
Thalia Kaelis,The Great Orionian Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,95
Telas Thorne,The Great Orionex Imperium,Diplomat,Negotiated a historic peace treaty ending a destructive multi-decade war.,95
Dorian Storm,The Great Consolidated Imperium,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",95
Aurelia Sovereign,The Thranis Technocracy,Military Leader,Commanded the forces that achieved victory in a legendary fleet battle in Orion Sector.,95
Aethelgard Helios,The Primite Star Empire,Diplomat,De-escalated severe trade conflicts through complex commercial agreements.,95
Vanya Voidwalker,The Scientific Technocracy,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,95
Valerius Nova,The Unified AI Hegemony,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,95
Kael Zenith,The Great Scientific Imperium,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,95
Nyx Sterling,The Gamma-galacticis Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,95
Sienna Sol,The Great Scientific Imperium,Explorer,Mapped five previously uncharted wormhole connections in the outer galactic rim.,95
Telas Sovereign,The Great Zylarite Imperium,Military Leader,De-escalated potential civil conflict through decisive action against rogue factions.,95
Zephyr Vanguard,The Great Unified Imperium,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,94
Sienna Sterling,The Scientific Technocracy,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",94
Taron Voidwalker,The Allied Star Empire,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,94
Sariel Starlight,The Allied Star Empire,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,94
Cassian Storm,The Great Consolidated Imperium,Diplomat,Formed a network of trade and research agreements spanning three star sectors.,94
Xerxes Thorne,The Great Consolidated Imperium,Scientist,Discovered new sub-space anomalies that revolutionized hyperlane navigation calculations.,94
Vesper Voidwalker,The Great Sigma-bulgis Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,94
Sariel Sovereign,The Unified Technocracy,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,94
Nyx Crown,The Great Vesperari Imperium,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,94
Vesper Storm,The Consolidated Technocracy,Military Leader,Led the defense of a FTL jump gate system during a regional crisis.,94
Rylan Starfall,The Unified AI Hegemony,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",93
Nyx Sterling,The Great Consolidated Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",93
Kael Sterling,The Consolidated Meroid Systems,Scientist,Directed the engineering projects that completed the first Type II Dyson Swarm.,93
Sylas Voidwalker,The Consolidated Unified Systems,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,93
Xerxes Sterling,The Great Unified Imperium,Military Leader,Successfully coordinated deep space offensives that annexed three key resource sectors.,93
Caelum Sovereign,The Unified Technocracy,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,93
Rylan Crown,The Great Zylarite Imperium,Explorer,"First to land on and survey a highly habitable prime world, enabling immediate colonization.",93
Dorian Sovereign,The Great Galactican Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,93
Rylan Storm,The Orionian Technocracy,Scientist,Created advanced cybernetic upgrades that increased species intelligence and longevity.,93
Cassian Starfall,The Great Kaelumian Imperium,Emperor,Formed a lasting defensive coalition that successfully deterred external invasions.,93
Vanya Aethel,The Consolidated Scientific Systems,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,93
Thalia Aethel,The Primite Star Empire,Explorer,"Mapped the strategic chokepoints of the Perseus Arm, securing military logistics.",93
Aurelia Ironclad,The Great Zylarian Imperium,Military Leader,"Successfully repelled a planetary invasion by rival coalition fleets, saving billions.",93
Xerxes Thorne,The Aureloid Star Empire,Explorer,Survived a hazardous navigation crisis inside a collapsing gravitational nebula.,93
Kael Rifts,The Nu-cygnis Star Empire,Explorer,"Discovered three new hyperlane FTL paths, shortening trade routes by decades.",93
Telas Dawn,The Scientific Technocracy,Diplomat,Successfully exposed covert espionage networks before they could trigger war.,93
Cassian Zenith,The Unified AI Hegemony,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",93
Orion Zenith,The Great Vesperan Imperium,Emperor,Survived three major destabilization espionage operations planned by rival empires.,93
Caelum Starlight,The Great Consolidated Imperium,Emperor,"Led the civilization during a golden age of economic expansion, doubling planetary GDP.",92
Caelum Nox,The Great Unified Imperium,Emperor,Decreed the construction of defensive platforms across key FTL chokepoint systems.,92
