event_id,year,timestamp,event_type,event_category,empire,participants,location,impact_score,historical_significance,description
ALL-0089,0,Year 0,Alliance Formation,Diplomacy,Great-Allied Defense Pact,"2a34070c99,cb6235e194",Galactic Assembly,15.0,Significant,"The Great-Allied Defense Pact was established as a Defense Pact including members: 2a34070c99,cb6235e194."
ALL-0090,0,Year 0,Alliance Formation,Diplomacy,Unified-Scientific Defense Pact,"4c67325ea2,8eadd942b0",Galactic Assembly,15.0,Significant,"The Unified-Scientific Defense Pact was established as a Defense Pact including members: 4c67325ea2,8eadd942b0."
ALL-0091,0,Year 0,Alliance Formation,Diplomacy,Unified-Perseian Defense Pact,"4c67325ea2,d2f4557294",Galactic Assembly,15.0,Significant,"The Unified-Perseian Defense Pact was established as a Defense Pact including members: 4c67325ea2,d2f4557294."
ALL-0092,0,Year 0,Alliance Formation,Diplomacy,Unified-Unified Defense Pact,"4c67325ea2,3b106fa102",Galactic Assembly,15.0,Significant,"The Unified-Unified Defense Pact was established as a Defense Pact including members: 4c67325ea2,3b106fa102."
ALL-0093,0,Year 0,Alliance Formation,Diplomacy,Unified-Allied Defense Pact,"4c67325ea2,cb6235e194",Galactic Assembly,15.0,Significant,"The Unified-Allied Defense Pact was established as a Defense Pact including members: 4c67325ea2,cb6235e194."
ALL-0094,0,Year 0,Alliance Formation,Diplomacy,Scientific-Allied Defense Pact,"8eadd942b0,cb6235e194",Galactic Assembly,15.0,Significant,"The Scientific-Allied Defense Pact was established as a Defense Pact including members: 8eadd942b0,cb6235e194."
ALL-0095,0,Year 0,Alliance Formation,Diplomacy,The Perseian-Unified Scientific Alliance,"d2f4557294,3b106fa102",Galactic Assembly,15.0,Significant,"The The Perseian-Unified Scientific Alliance was established as a Research Alliance including members: d2f4557294,3b106fa102."
ALL-0096,0,Year 0,Alliance Formation,Diplomacy,The Perseian-Allied Scientific Alliance,"d2f4557294,cb6235e194",Galactic Assembly,15.0,Significant,"The The Perseian-Allied Scientific Alliance was established as a Research Alliance including members: d2f4557294,cb6235e194."
ALL-0097,0,Year 0,Alliance Formation,Diplomacy,The Solari-Unified Scientific Alliance,"5f5ebcf2f5,5578b4053f",Galactic Assembly,15.0,Significant,"The The Solari-Unified Scientific Alliance was established as a Research Alliance including members: 5f5ebcf2f5,5578b4053f."
ALL-0098,0,Year 0,Alliance Formation,Diplomacy,Great-Unified Defense Pact,"095464621d,22e010a52d",Galactic Assembly,15.0,Significant,"The Great-Unified Defense Pact was established as a Defense Pact including members: 095464621d,22e010a52d."
ALL-0099,0,Year 0,Alliance Formation,Diplomacy,The Great-Sagittarian Scientific Alliance,"cf1fb521d7,0895acc0af",Galactic Assembly,15.0,Significant,"The The Great-Sagittarian Scientific Alliance was established as a Research Alliance including members: cf1fb521d7,0895acc0af."
ALL-0100,0,Year 0,Alliance Formation,Diplomacy,Great-Gamma-sagittariis Defense Pact,"cf1fb521d7,cd650c58ff",Galactic Assembly,15.0,Significant,"The Great-Gamma-sagittariis Defense Pact was established as a Defense Pact including members: cf1fb521d7,cd650c58ff."
ALL-0101,0,Year 0,Alliance Formation,Diplomacy,Great-Scientific Defense Pact,"cf1fb521d7,208f64f5f9",Galactic Assembly,15.0,Significant,"The Great-Scientific Defense Pact was established as a Defense Pact including members: cf1fb521d7,208f64f5f9."
ALL-0102,0,Year 0,Alliance Formation,Diplomacy,The Sagittarian-Scientific Scientific Alliance,"0895acc0af,208f64f5f9",Galactic Assembly,15.0,Significant,"The The Sagittarian-Scientific Scientific Alliance was established as a Research Alliance including members: 0895acc0af,208f64f5f9."
ALL-0103,0,Year 0,Alliance Formation,Diplomacy,Gamma-sagittariis-Scientific Defense Pact,"cd650c58ff,208f64f5f9",Galactic Assembly,15.0,Significant,"The Gamma-sagittariis-Scientific Defense Pact was established as a Defense Pact including members: cd650c58ff,208f64f5f9."
ALL-0104,0,Year 0,Alliance Formation,Diplomacy,Great-Consolidated Defense Pact,"ad899b1ed9,2b4452e77b",Galactic Assembly,15.0,Significant,"The Great-Consolidated Defense Pact was established as a Defense Pact including members: ad899b1ed9,2b4452e77b."
ALL-0105,0,Year 0,Alliance Formation,Diplomacy,The Meroid-Consolidated Scientific Alliance,"b53d4251d2,2b4452e77b",Galactic Assembly,15.0,Significant,"The The Meroid-Consolidated Scientific Alliance was established as a Research Alliance including members: b53d4251d2,2b4452e77b."
ALL-0106,0,Year 0,Alliance Formation,Diplomacy,The Unified-Bulgite Scientific Alliance,"7994a1ada7,2b100070c5",Galactic Assembly,15.0,Significant,"The The Unified-Bulgite Scientific Alliance was established as a Research Alliance including members: 7994a1ada7,2b100070c5."
ALL-0107,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"a222a74ae8,c235dc422c",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: a222a74ae8,c235dc422c."
ALL-0108,0,Year 0,Alliance Formation,Diplomacy,The Great-Great Scientific Alliance,"a222a74ae8,9dbca7c528",Galactic Assembly,15.0,Significant,"The The Great-Great Scientific Alliance was established as a Research Alliance including members: a222a74ae8,9dbca7c528."
ALL-0109,0,Year 0,Alliance Formation,Diplomacy,Great-Great Defense Pact,"c235dc422c,9dbca7c528",Galactic Assembly,15.0,Significant,"The Great-Great Defense Pact was established as a Defense Pact including members: c235dc422c,9dbca7c528."
ALL-0110,0,Year 0,Alliance Formation,Diplomacy,Great-Scientific Defense Pact,"f0cb6b0a91,609e70586f",Galactic Assembly,15.0,Significant,"The Great-Scientific Defense Pact was established as a Defense Pact including members: f0cb6b0a91,609e70586f."
