era_name,start_year,end_year,dominant_empire,major_events
Age of Collapse,106000,106500,The Scientific Technocracy,"AI Uprising (Year 106191): In Year 106191, a mysterious cosmic pandemic swept through P... | Economic Collapse (Year 106022): In Year 106022, The Aurelan Technocracy experienced a massiv..."
Age of Expansion,106500,107000,The Great Scientific Imperium,"Pandemic Event (Year 106919): In Year 106919, a mysterious cosmic pandemic swept through C... | Planetary Invasion (Year 106662): In Year 106662, the joint fleets of The Great Theta-orionis ..."
Age of Trade,107000,107500,The Unified Technocracy,"Megastructure Completion (Year 107450): In Year 107450, a breakthrough in zero-point energy generati... | Defense Pact (Year 107043): In Year 107043, the The Consolidated Allied Systems and The ..."
Age of Expansion,107500,108500,The Scientific Technocracy,"AI Uprising (Year 107543): In Year 107543, a mysterious cosmic pandemic swept through C... | Galactic Federation (Year 107722): In Year 107722, The Zylarian Technocracy acted as a peace me... | Megastructure Completion (Year 108137): In Year 108137, the The Zelian AI Hegemony completed the con... | Pandemic Event (Year 108321): In Year 108321, a catastrophic solar flare in Castor Arm des..."
Age of Trade,108500,109000,The Unified Technocracy,"Economic Collapse (Year 108708): In Year 108708, a gold rush of rare FTL fuel elements trigge... | AI Uprising (Year 108803): In Year 108803, a rogue AI network in The Meroid Technocracy..."
Age of Expansion,109000,109500,The Great Consolidated Imperium,"Economic Collapse (Year 109455): In Year 109455, a gold rush of rare FTL fuel elements trigge... | FTL Network Failure (Year 109399): In Year 109399, a mysterious cosmic pandemic swept through B..."
Age of Federations,109500,110000,The Vesperis Star Empire,"Economic Collapse (Year 109592): In Year 109592, industrial megacorporations in The Unified A... | Megastructure Completion (Year 109730): In Year 109730, a breakthrough in zero-point energy generati..."
Age of Expansion,110000,110500,The Great Unified Imperium,"Megastructure Completion (Year 110021): In Year 110021, a breakthrough in zero-point energy generati... | War End (Year 110166): In Year 110166, the The Great Thranan Imperium launched a su..."
Age of Trade,110500,111000,The Unified Technocracy,"Economic Collapse (Year 110888): In Year 110888, resource depletion in the Centauri Nebula se... | Pandemic Event (Year 110522): In Year 110522, a rogue AI network in The Consolidated Unifi..."
Age of Federations,111000,112500,The Scientific Technocracy,"Wormhole Collapse (Year 111251): In Year 111251, a catastrophic solar flare in Perseus Sigma ... | Galactic Federation (Year 111483): In Year 111483, the The Kaelumis Technocracy and The Orionia... | Refugee Crisis (Year 111714): In Year 111714, the FTL jump gate in Capella Prime suffered ... | Defense Pact (Year 111777): In Year 111777, the The Sigma-orionis Star Empire and The Gr... | AI Uprising (Year 112199): In Year 112199, a catastrophic solar flare in Polaris Beta d... | Resource Catastrophe (Year 112052): In Year 112052, a catastrophic solar flare in Capella Prime ..."
Age of Expansion,112500,113000,The Scientific AI Hegemony,"AI Uprising (Year 112615): In Year 112615, the FTL jump gate in Sagittarius Prime suffe... | Pandemic Event (Year 112902): In Year 112902, a mysterious cosmic pandemic swept through R..."
Age of Colonization,113000,113500,The Consolidated Allied Systems,"Pandemic Event (Year 113434): In Year 113434, a rogue AI network in The Great Unified Impe... | Alliance Formation (Year 113177): In Year 113177, the The Consolidated Delta-bulgis Systems an..."
Age of Federations,113500,114000,The Consolidated Technocracy,"FTL Network Failure (Year 113993): In Year 113993, a mysterious cosmic pandemic swept through A... | Megastructure Completion (Year 113590): In Year 113590, The Great Meran Imperium successfully comple..."
Age of Expansion,114000,115500,The Great Unified Imperium,"Economic Collapse (Year 114372): In Year 114372, a gold rush of rare FTL fuel elements trigge... | FTL Network Failure (Year 114464): In Year 114464, a rogue AI network in The Great Unified Impe... | Resource Catastrophe (Year 114867): In Year 114867, the FTL jump gate in Aldebaran Sigma suffere... | Refugee Crisis (Year 114612): In Year 114612, the FTL jump gate in Arcturus Arm suffered a... | Megastructure Completion (Year 115063): In Year 115063, the The Great Scientific Imperium completed ... | Planetary Invasion (Year 115146): In Year 115146, a skirmish broke out in Sirius Arm between T..."
Age of Trade,115500,116000,The Consolidated Unified Systems,"Economic Collapse (Year 115518): In Year 115518, a gold rush of rare FTL fuel elements trigge... | War End (Year 115751): In Year 115751, a devastating fleet battle occurred in the C..."
Age of Expansion,116000,116500,The Great Unified Imperium,"AI Uprising (Year 116428): In Year 116428, a rogue AI network in The Consolidated Allie... | FTL Network Failure (Year 116270): In Year 116270, a rogue AI network in The Consolidated Allie..."
Age of Federations,116500,117500,The Great Unified Imperium,"Economic Collapse (Year 116579): In Year 116579, a gold rush of rare FTL fuel elements trigge... | Pandemic Event (Year 116717): In Year 116717, a rogue AI network in The Consolidated Unifi... | FTL Network Failure (Year 117483): In Year 117483, a catastrophic solar flare in Rigel Reach de... | Peace Treaty Signing (Year 117314): In Year 117314, the The Great Solis Imperium and The Great U..."
Age of Expansion,117500,118000,The Great Unified Imperium,"FTL Network Failure (Year 117835): In Year 117835, a catastrophic solar flare in Polaris Major ... | FTL Network Failure (Year 117919): In Year 117919, the FTL jump gate in Aldebaran Beta suffered..."
Age of Trade,118000,118500,The Unified AI Hegemony,"Refugee Crisis (Year 118190): In Year 118190, the FTL jump gate in Antares Beta suffered a... | Galactic Federation (Year 118004): In Year 118004, the The Unified AI Hegemony and The Consolid..."
Age of Federations,118500,119000,The Great Unified Imperium,"Peace Treaty Signing (Year 118534): In Year 118534, diplomatic relations between The Great Conso... | Peace Treaty Signing (Year 118710): In Year 118710, the The Galactician Star Empire and The Scie..."
Age of Expansion,119000,119500,The Orionite AI Hegemony,"Pandemic Event (Year 119382): In Year 119382, a mysterious cosmic pandemic swept through V... | Planetary Invasion (Year 119093): In Year 119093, the The Consolidated Star Empire launched a ..."
Age of Colonization,119500,120000,The Great Consolidated Imperium,"Megastructure Completion (Year 119690): In Year 119690, researchers in The Consolidated Consolidated... | Defense Pact (Year 119758): In Year 119758, The Great Consolidated Imperium acted as a p..."
Age of Expansion,120000,120500,The Great Unified Imperium,"AI Uprising (Year 120119): In Year 120119, a catastrophic solar flare in Sagittarius Be... | Economic Collapse (Year 120379): In Year 120379, industrial megacorporations in The Unified T..."
Age of Trade,120500,121000,The Great Unified Imperium,"Economic Collapse (Year 120660): In Year 120660, a gold rush of rare FTL fuel elements trigge... | Resource Catastrophe (Year 120532): In Year 120532, a catastrophic solar flare in Vega Expanse d..."
Age of Federations,121000,121500,The Allied Technocracy,"Economic Collapse (Year 121072): In Year 121072, industrial megacorporations in The Consolida... | Megastructure Completion (Year 121158): In Year 121158, a breakthrough in zero-point energy generati..."
Age of Trade,121500,122000,The Great Scientific Imperium,"AI Uprising (Year 121803): In Year 121803, a rogue AI network in The Great Orionex Impe... | Pandemic Event (Year 121857): In Year 121857, a rogue AI network in The Consolidated Aurel..."
Age of Conflict,122000,122500,The Unified Technocracy,"Megastructure Completion (Year 122195): In Year 122195, the The Unified Technocracy completed the co... | Megastructure Completion (Year 122397): In Year 122397, a breakthrough in zero-point energy generati..."
Age of Trade,122500,123000,The Great Scientific Imperium,"Economic Collapse (Year 122678): In Year 122678, industrial megacorporations in The Consolida... | Economic Collapse (Year 122988): In Year 122988, industrial megacorporations in The Scientifi..."
Age of Expansion,123000,123500,The Great Scientific Imperium,"AI Uprising (Year 123285): In Year 123285, the FTL jump gate in Orion Minor suffered a ... | Pandemic Event (Year 123074): In Year 123074, a mysterious cosmic pandemic swept through P..."
Age of Trade,123500,124500,The Consolidated Unified Systems,"Economic Collapse (Year 123802): In Year 123802, resource depletion in the Capella Major sect... | Galactic Federation (Year 123987): In Year 123987, the The Great Consolidated Imperium and The ... | Wormhole Collapse (Year 124256): In Year 124256, a catastrophic solar flare in Pollux Arm des... | Wormhole Collapse (Year 124347): In Year 124347, a catastrophic solar flare in Sirius Nebula ..."
Age of Expansion,124500,125000,The Great Consolidated Imperium,"FTL Network Failure (Year 124925): In Year 124925, a mysterious cosmic pandemic swept through R... | Megastructure Completion (Year 124516): In Year 124516, The Great Unified Imperium successfully comp..."
Age of Federations,125000,125500,The Scientific Technocracy,"AI Uprising (Year 125210): In Year 125210, a rogue AI network in The Zylarian AI Hegemo... | Resource Catastrophe (Year 125379): In Year 125379, the FTL jump gate in Sagittarius Prime suffe..."
Age of Colonization,125500,126000,The Scientific Technocracy,"Deep Space Engagement (Year 125773): In Year 125773, The Scientific Technocracy successfully anne... | Scientific Breakthrough (Year 125827): In Year 125827, researchers in The Aethelgardan AI Hegemony ..."
Age of Expansion,126000,126500,The Great Unified Imperium,"Galactic Federation (Year 126096): In Year 126096, the The Scientific Technocracy and The Great... | Colony Assault (Year 126029): In Year 126029, a skirmish broke out in Polaris Major betwee..."
Age of Colonization,126500,127000,The Great Scientific Imperium,"Refugee Crisis (Year 126973): In Year 126973, a catastrophic solar flare in Antares Expans... | War End (Year 126582): In Year 126582, the joint fleets of The Great Scientific Imp..."
Age of Expansion,127000,128000,The Great Unified Imperium,"Megastructure Completion (Year 127439): In Year 127439, researchers in The Consolidated Unified Syst... | Colony Assault (Year 127043): In Year 127043, The Unified Star Empire successfully annexed... | Economic Collapse (Year 127989): In Year 127989, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 127659): In Year 127659, a breakthrough in zero-point energy generati..."
Age of Conflict,128000,128500,The Great Allied Imperium,"Refugee Crisis (Year 128064): In Year 128064, a mysterious cosmic pandemic swept through C... | Colony Assault (Year 128401): In Year 128401, the joint fleets of The Great Consolidated I..."
Age of Trade,128500,129000,The Scientific Technocracy,"Wormhole Collapse (Year 128945): In Year 128945, a catastrophic solar flare in Sirius Reach d... | Galactic Federation (Year 128859): In Year 128859, the The Consolidated Scientific Systems and ..."
Age of Expansion,129000,130000,The Great Unified Imperium,"War Declaration (Year 129119): In Year 129119, a skirmish broke out in Polaris Sigma betwee... | Defense Pact (Year 129000): In Year 129000, the The Great Unified Imperium and The Scien... | Resource Catastrophe (Year 129863): In Year 129863, a mysterious cosmic pandemic swept through P... | Megastructure Completion (Year 129634): In Year 129634, The Great Unified Imperium successfully comp..."
Age of Federations,130000,130500,The Great Unified Imperium,"Resource Catastrophe (Year 130427): In Year 130427, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 130173): In Year 130173, The Consolidated Scientific Systems successf..."
Age of Expansion,130500,131000,The Unified AI Hegemony,"Wormhole Collapse (Year 130511): In Year 130511, a catastrophic solar flare in Capella Prime ... | War End (Year 130597): In Year 130597, a devastating fleet battle occurred in the A..."
Age of Federations,131000,131500,The Perseite AI Hegemony,"Colony Assault (Year 131333): In Year 131333, a devastating fleet battle occurred in the C... | Defense Pact (Year 131174): In Year 131174, the The Scientific Technocracy and The Scien..."
Age of Colonization,131500,132000,The Scientific Technocracy,"Economic Collapse (Year 131925): In Year 131925, a gold rush of rare FTL fuel elements trigge... | Defense Pact (Year 131720): In Year 131720, diplomatic relations between The Bulgan Tech..."
Age of Trade,132000,132500,The Scientific Technocracy,"Refugee Crisis (Year 132234): In Year 132234, a mysterious cosmic pandemic swept through A... | Defense Pact (Year 132079): In Year 132079, diplomatic relations between The Great Unifi..."
Age of Expansion,132500,133000,The Great Unified Imperium,"Megastructure Completion (Year 132688): In Year 132688, the The Great Allied Imperium completed the ... | Scientific Breakthrough (Year 132544): In Year 132544, The Great Unified Imperium successfully comp..."
Age of Conflict,133000,133500,The Great Unified Imperium,"Economic Collapse (Year 133159): In Year 133159, industrial megacorporations in The Consolida... | Planetary Invasion (Year 133035): In Year 133035, the The Great Unified Imperium launched a su..."
Age of Trade,133500,135000,The Scientific Technocracy,"Economic Collapse (Year 133506): In Year 133506, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 133645): In Year 133645, industrial megacorporations in The Scientifi... | Economic Collapse (Year 134109): In Year 134109, resource depletion in the Sirius Minor secto... | Alliance Formation (Year 134203): In Year 134203, The Scientific Technocracy acted as a peace ... | Pandemic Event (Year 134797): In Year 134797, a rogue AI network in The Great Scientific I... | Planetary Invasion (Year 134512): In Year 134512, a devastating fleet battle occurred in the P..."
Age of Expansion,135000,135500,The Unified Technocracy,"Wormhole Collapse (Year 135366): In Year 135366, a mysterious cosmic pandemic swept through V... | Resource Catastrophe (Year 135458): In Year 135458, a catastrophic solar flare in Antares Sigma ..."
Age of Trade,135500,136000,The Allied Technocracy,"AI Uprising (Year 135785): In Year 135785, a rogue AI network in The Great Scientific I... | Economic Collapse (Year 135936): In Year 135936, a gold rush of rare FTL fuel elements trigge..."
Age of Colonization,136000,136500,The Great Allied Imperium,"War Declaration (Year 136323): In Year 136323, a skirmish broke out in Sagittarius Major be... | Peace Treaty Signing (Year 136051): In Year 136051, diplomatic relations between The Scientific ..."
Age of Expansion,136500,137500,The Unified Technocracy,"Wormhole Collapse (Year 136506): In Year 136506, a mysterious cosmic pandemic swept through S... | Pandemic Event (Year 136658): In Year 136658, a catastrophic solar flare in Perseus Minor ... | AI Uprising (Year 137250): In Year 137250, the FTL jump gate in Rigel Minor suffered a ... | Economic Collapse (Year 137145): In Year 137145, resource depletion in the Capella Expanse se..."
Age of Federations,137500,138000,The Consolidated Unified Systems,"Refugee Crisis (Year 137854): In Year 137854, the FTL jump gate in Vega Nebula suffered a ... | Galactic Federation (Year 137563): In Year 137563, diplomatic relations between The Consolidate..."
Age of Colonization,138000,138500,The Great Unified Imperium,"Refugee Crisis (Year 138310): In Year 138310, the FTL jump gate in Orion Expanse suffered ... | Colony Assault (Year 138235): In Year 138235, The Consolidated Chi-bulgis Systems successf..."
Age of Collapse,138500,139000,The Scientific Technocracy,"Resource Catastrophe (Year 138756): In Year 138756, the FTL jump gate in Pollux Reach suffered a... | Megastructure Completion (Year 138682): In Year 138682, a breakthrough in zero-point energy generati..."
Age of Expansion,139000,139500,The Consolidated Unified Systems,"Resource Catastrophe (Year 139422): In Year 139422, the FTL jump gate in Procyon Beta suffered a... | Pandemic Event (Year 139012): In Year 139012, a mysterious cosmic pandemic swept through S..."
Age of Trade,139500,140000,The Great Scientific Imperium,"Economic Collapse (Year 139744): In Year 139744, industrial megacorporations in The Allied Te... | Galactic Federation (Year 139829): In Year 139829, The Great Cygnian Imperium acted as a peace ..."
Age of Expansion,140000,142000,The Great Unified Imperium,"Economic Collapse (Year 140344): In Year 140344, resource depletion in the Perseus Minor sect... | Wormhole Collapse (Year 140277): In Year 140277, a rogue AI network in The Unified Star Empir... | FTL Network Failure (Year 140575): In Year 140575, the FTL jump gate in Capella Reach suffered ... | FTL Network Failure (Year 140870): In Year 140870, a mysterious cosmic pandemic swept through A... | FTL Network Failure (Year 141371): In Year 141371, a mysterious cosmic pandemic swept through P... | Megastructure Completion (Year 141105): In Year 141105, a breakthrough in zero-point energy generati... | Pandemic Event (Year 141929): In Year 141929, a mysterious cosmic pandemic swept through A... | Refugee Crisis (Year 141513): In Year 141513, a mysterious cosmic pandemic swept through B..."
Age of Colonization,142000,142500,The Great Scientific Imperium,"Wormhole Collapse (Year 142470): In Year 142470, a rogue AI network in The Great Allied Imper... | Galactic Federation (Year 142130): In Year 142130, the The Aurelari Technocracy and The Consoli..."
Age of Trade,142500,143000,The Great Scientific Imperium,"Resource Catastrophe (Year 142549): In Year 142549, a mysterious cosmic pandemic swept through S... | Pandemic Event (Year 142988): In Year 142988, the FTL jump gate in Betelgeuse Expanse suff..."
Age of Federations,143000,143500,The Great Scientific Imperium,"Megastructure Completion (Year 143262): In Year 143262, The Allied Star Empire successfully complete... | Galactic Federation (Year 143042): In Year 143042, the The Perseian AI Hegemony and The Zelian ..."
Age of Colonization,143500,144000,The Consolidated Star Empire,"Defense Pact (Year 143777): In Year 143777, The Consolidated Star Empire acted as a peac... | Orbital Battle (Year 143621): In Year 143621, a skirmish broke out in Sirius Sigma between..."
Age of Trade,144000,145000,The Scientific Technocracy,"Economic Collapse (Year 144053): In Year 144053, industrial megacorporations in The Scientifi... | Wormhole Collapse (Year 144201): In Year 144201, the FTL jump gate in Capella Beta suffered a... | FTL Network Failure (Year 144870): In Year 144870, a mysterious cosmic pandemic swept through C... | Economic Collapse (Year 144593): In Year 144593, industrial megacorporations in The Orionan T..."
Age of Expansion,145000,145500,The Consolidated Unified Systems,"AI Uprising (Year 145091): In Year 145091, a mysterious cosmic pandemic swept through P... | Economic Collapse (Year 145436): In Year 145436, resource depletion in the Centauri Beta sect..."
Age of Collapse,145500,146000,The Great Scientific Imperium,"Pandemic Event (Year 145929): In Year 145929, a mysterious cosmic pandemic swept through B... | Refugee Crisis (Year 145756): In Year 145756, a rogue AI network in The Consolidated AI He..."
Age of Trade,146000,147000,The Unified Technocracy,"Wormhole Collapse (Year 146199): In Year 146199, the FTL jump gate in Centauri Sigma suffered... | Galactic Federation (Year 146146): In Year 146146, diplomatic relations between The Consolidate... | Economic Collapse (Year 146595): In Year 146595, a gold rush of rare FTL fuel elements trigge... | Galactic Federation (Year 146646): In Year 146646, the The Great Unified Imperium and The Great..."
Age of Federations,147000,147500,The Great Unified Imperium,"Economic Collapse (Year 147075): In Year 147075, resource depletion in the Betelgeuse Major s... | Defense Pact (Year 147137): In Year 147137, the The Consolidated Unified Systems and The..."
Age of Expansion,147500,149000,The Consolidated Unified Systems,"AI Uprising (Year 147602): In Year 147602, a catastrophic solar flare in Sagittarius Be... | Megastructure Completion (Year 147847): In Year 147847, researchers in The Kaelumis Technocracy achi... | AI Uprising (Year 148347): In Year 148347, a catastrophic solar flare in Pollux Reach d... | Resource Catastrophe (Year 148146): In Year 148146, a rogue AI network in The Unified Technocrac... | Wormhole Collapse (Year 148765): In Year 148765, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 148608): In Year 148608, researchers in The Unified Technocracy achie..."
Age of Trade,149000,150000,The Unified AI Hegemony,"Economic Collapse (Year 149243): In Year 149243, a gold rush of rare FTL fuel elements trigge... | Refugee Crisis (Year 149444): In Year 149444, the FTL jump gate in Arcturus Minor suffered... | Economic Collapse (Year 149905): In Year 149905, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 149511): In Year 149511, The Consolidated Meroid Systems experienced ..."
Age of Expansion,150000,151000,The Great Scientific Imperium,"FTL Network Failure (Year 150216): In Year 150216, a catastrophic solar flare in Perseus Reach ... | FTL Network Failure (Year 150499): In Year 150499, the FTL jump gate in Polaris Nebula suffered... | Economic Collapse (Year 150764): In Year 150764, resource depletion in the Antares Beta secto... | Pandemic Event (Year 150679): In Year 150679, a mysterious cosmic pandemic swept through C..."
Age of Trade,151000,151500,The Consolidated Unified Systems,"Economic Collapse (Year 151067): In Year 151067, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 151126): In Year 151126, The Great Consolidated Imperium successfully..."
Age of Federations,151500,152000,The Unified Technocracy,"Economic Collapse (Year 151545): In Year 151545, The Unified Technocracy experienced a massiv... | Wormhole Collapse (Year 151699): In Year 151699, a catastrophic solar flare in Castor Expanse..."
Age of Expansion,152000,156000,The Scientific AI Hegemony,"Economic Collapse (Year 152211): In Year 152211, a gold rush of rare FTL fuel elements trigge... | Megastructure Completion (Year 152406): In Year 152406, The Consolidated Soloid Systems successfully... | Megastructure Completion (Year 152571): In Year 152571, The Unified AI Hegemony successfully complet... | Megastructure Completion (Year 152666): In Year 152666, the The Scientific Technocracy completed the... | Megastructure Completion (Year 153284): In Year 153284, a breakthrough in zero-point energy generati... | Megastructure Completion (Year 153337): In Year 153337, researchers in The Great Zelex Imperium achi... | Wormhole Collapse (Year 153693): In Year 153693, a rogue AI network in The Primite Star Empir... | Megastructure Completion (Year 153848): In Year 153848, the The Gamma-galacticis Technocracy complet... | Refugee Crisis (Year 154074): In Year 154074, the FTL jump gate in Castor Prime suffered a... | Deep Space Engagement (Year 154242): In Year 154242, a devastating fleet battle occurred in the P... | Planetary Invasion (Year 154694): In Year 154694, the joint fleets of The Great Unified Imperi... | Trade Agreement (Year 154575): In Year 154575, a gold rush of rare FTL fuel elements trigge... | Economic Collapse (Year 155242): In Year 155242, a gold rush of rare FTL fuel elements trigge... | Wormhole Collapse (Year 155001): In Year 155001, a mysterious cosmic pandemic swept through C... | Megastructure Completion (Year 155729): In Year 155729, the The Consolidated Unified Systems complet... | Peace Treaty Signing (Year 155527): In Year 155527, the The Consolidated Consolidated Systems an..."
Age of Federations,156000,156500,The Great Vesperis Imperium,"Economic Collapse (Year 156263): In Year 156263, industrial megacorporations in The Unified T... | Refugee Crisis (Year 156334): In Year 156334, the FTL jump gate in Centauri Expanse suffer..."
