empire_id,empire_name,origin_story,expansion_era,golden_age,major_wars,peak_influence,decline,legacy
70a115d461,The Consolidated Technocracy,"The The Consolidated Technocracy emerges in the galaxy, establishing its capital at GDE-6664-e.","The The Consolidated Technocracy enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Consolidated Technocracy reaches its peak geopolitical influence, asserting military dominance.","In Year 114307, a skirmish broke out in Perseus Arm between The Vesperite AI Hegemony patrols and The Consolidated Technocracy raiders. | In Year 117718, the The Great Unified Imperium launched a surprise offensive against The Consolidated Technocracy over territorial claims in the Castor Nebula sector.",Reaching peak GDP of 21499.08 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Consolidated Technocracy.","Today, the ruins of jump gates and structures of The Consolidated Technocracy stand as monuments to their ancient legacy."
26b5626b6c,The Scientific Technocracy,"The The Scientific Technocracy emerges in the galaxy, establishing its capital at HR 220748-b.","As FTL routes expanded, the The Scientific Technocracy colonized surrounding sectors, claiming resources.",The The Scientific Technocracy achieves a golden age of scientific and economic peak development.,"In Year 101879, The Consolidated Star Empire successfully annexed colonies of The Scientific Technocracy after a siege on their outer defense platforms. | In Year 105260, a skirmish broke out in Castor Major between The Consolidated Consolidated Systems patrols and The Scientific Technocracy raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 101879. The The Scientific Technocracy is completely annexed or wiped out from the galactic theater.
8a41c4ac34,The Valis AI Hegemony,"The The Valis AI Hegemony emerges in the galaxy, establishing its capital at Webb-6726b-g.","As FTL routes expanded, the The Valis AI Hegemony colonized surrounding sectors, claiming resources.",The The Valis AI Hegemony achieves a golden age of scientific and economic peak development.,"In Year 171281, a skirmish broke out in Polaris Sigma between The Consolidated Star Empire patrols and The Valis AI Hegemony raiders. | In Year 197760, the joint fleets of The Great Scientific Imperium and The Valis AI Hegemony conducted a major peacekeeping operation in Antares Sigma.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 706581. The The Valis AI Hegemony is completely annexed or wiped out from the galactic theater.
15286fa1f5,The Great Consolidated Imperium,"The The Great Consolidated Imperium emerges in the galaxy, establishing its capital at Webb-6726b-i.","The The Great Consolidated Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Consolidated Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 108070, a devastating fleet battle occurred in the Rigel Arm system where the forces of The Great Kaelumari Imperium clashed with The Great Consolidated Imperium. | In Year 109194, The Great Consolidated Imperium successfully annexed colonies of The Consolidated Aurelari Systems after a siege on their outer defense platforms.",Reaching peak GDP of 7200.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 150435. The The Great Consolidated Imperium is completely annexed or wiped out from the galactic theater.
ec5efdeb2d,The Bulgite Technocracy,"The The Bulgite Technocracy emerges in the galaxy, establishing its capital at Zeta Bulge-b.","As FTL routes expanded, the The Bulgite Technocracy colonized surrounding sectors, claiming resources.",The The Bulgite Technocracy achieves a golden age of scientific and economic peak development.,"In Year 164778, The Consolidated Aurelex Systems successfully annexed colonies of The Bulgite Technocracy after a siege on their outer defense platforms. | In Year 174291, the joint fleets of The Great Unified Imperium and The Bulgite Technocracy conducted a major peacekeeping operation in Sirius Beta.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 164778. The The Bulgite Technocracy is completely annexed or wiped out from the galactic theater.
2f0954acad,The Scientific AI Hegemony,"The The Scientific AI Hegemony emerges in the galaxy, establishing its capital at Aethelgard-b.","The The Scientific AI Hegemony enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Scientific AI Hegemony reaches its peak geopolitical influence, asserting military dominance.","In Year 111404, the The Consolidated Star Empire launched a surprise offensive against The Scientific AI Hegemony over territorial claims in the Aldebaran Expanse sector. | In Year 124049, a skirmish broke out in Polaris Expanse between The Scientific AI Hegemony patrols and The Unified AI Hegemony raiders.",Reaching peak GDP of 7200.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 287301. The The Scientific AI Hegemony is completely annexed or wiped out from the galactic theater.
c7c9fca9a1,The Consolidated Unified Systems,"The The Consolidated Unified Systems emerges in the galaxy, establishing its capital at Aethelgard-c.","As FTL routes expanded, the The Consolidated Unified Systems colonized surrounding sectors, claiming resources.",The The Consolidated Unified Systems achieves a golden age of scientific and economic peak development.,"In Year 114798, a devastating fleet battle occurred in the Aldebaran Prime system where the forces of The Consolidated Unified Systems clashed with The Aurelan Star Empire. | In Year 118631, The Consolidated Unified Systems successfully annexed colonies of The Allied Technocracy after a siege on their outer defense platforms.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 795328. The The Consolidated Unified Systems is completely annexed or wiped out from the galactic theater.
511ff78315,The Great Allied Imperium,"The The Great Allied Imperium emerges in the galaxy, establishing its capital at PSR 64400-e.","The The Great Allied Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Allied Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 115216, The Zylaran AI Hegemony successfully annexed colonies of The Great Allied Imperium after a siege on their outer defense platforms. | In Year 131333, a devastating fleet battle occurred in the Capella Major system where the forces of The Great Meris Imperium clashed with The Great Allied Imperium.",Reaching peak GDP of 30958.68 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Allied Imperium stand as monuments to their ancient legacy."
95cba99a70,The Consolidated Technocracy,"The The Consolidated Technocracy emerges in the galaxy, establishing its capital at GDE-6664-e.","The The Consolidated Technocracy enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Consolidated Technocracy reaches its peak geopolitical influence, asserting military dominance.","In Year 114307, a skirmish broke out in Perseus Arm between The Vesperite AI Hegemony patrols and The Consolidated Technocracy raiders. | In Year 117718, the The Great Unified Imperium launched a surprise offensive against The Consolidated Technocracy over territorial claims in the Castor Nebula sector.",Reaching peak GDP of 21499.08 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Consolidated Technocracy.","Today, the ruins of jump gates and structures of The Consolidated Technocracy stand as monuments to their ancient legacy."
73cb158d41,The Great Unified Imperium,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-c.","The The Great Unified Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Unified Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 100547, the The Consolidated Scientific Systems launched a surprise offensive against The Great Unified Imperium over territorial claims in the Castor Nebula sector. | In Year 102026, the joint fleets of The Allied Technocracy and The Great Unified Imperium conducted a major peacekeeping operation in Orion Beta.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Great Unified Imperium.",The civilization became extinct in Year 260363. The The Great Unified Imperium is completely annexed or wiped out from the galactic theater.
7419a59432,The Unified Technocracy,"The The Unified Technocracy emerges in the galaxy, establishing its capital at Webb-9180d-d.","As FTL routes expanded, the The Unified Technocracy colonized surrounding sectors, claiming resources.",The The Unified Technocracy achieves a golden age of scientific and economic peak development.,"In Year 105734, a devastating fleet battle occurred in the Rigel Minor system where the forces of The Aethelgardan AI Hegemony clashed with The Unified Technocracy. | In Year 115751, a devastating fleet battle occurred in the Castor Minor system where the forces of The Great Unified Imperium clashed with The Unified Technocracy.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Unified Technocracy.",The civilization became extinct in Year 288214. The The Unified Technocracy is completely annexed or wiped out from the galactic theater.
bb1351012f,The Zylarian Star Empire,"The The Zylarian Star Empire emerges in the galaxy, establishing its capital at Webb-9180d-e.","The The Zylarian Star Empire enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","During a era of peace, the economy grew, and trade hubs flourished, cementing their status.","In Year 255631, a devastating fleet battle occurred in the Sagittarius Reach system where the forces of The Zylarian Star Empire clashed with The Consolidated Consolidated Systems. | In Year 308829, a devastating fleet battle occurred in the Centauri Minor system where the forces of The Zylarian Star Empire clashed with The Great Scientific Imperium.","At their zenith, the The Zylarian Star Empire exerted significant economic and political influence.","In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Zylarian Star Empire stand as monuments to their ancient legacy."
3be9d94e07,The Consolidated Unified Systems,"The The Consolidated Unified Systems emerges in the galaxy, establishing its capital at Aethelgard-c.","As FTL routes expanded, the The Consolidated Unified Systems colonized surrounding sectors, claiming resources.",The The Consolidated Unified Systems achieves a golden age of scientific and economic peak development.,"In Year 114798, a devastating fleet battle occurred in the Aldebaran Prime system where the forces of The Consolidated Unified Systems clashed with The Aurelan Star Empire. | In Year 118631, The Consolidated Unified Systems successfully annexed colonies of The Allied Technocracy after a siege on their outer defense platforms.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 795328. The The Consolidated Unified Systems is completely annexed or wiped out from the galactic theater.
033668785c,The Great Solis Imperium,"The The Great Solis Imperium emerges in the galaxy, establishing its capital at HD 212440-b.","As FTL routes expanded, the The Great Solis Imperium colonized surrounding sectors, claiming resources.",The The Great Solis Imperium achieves a golden age of scientific and economic peak development.,"In Year 126912, a devastating fleet battle occurred in the Arcturus Expanse system where the forces of The Great Solis Imperium clashed with The Cygnan Technocracy. | In Year 186157, the The Consolidated Scientific Systems launched a surprise offensive against The Great Solis Imperium over territorial claims in the Vega Major sector.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Solis Imperium stand as monuments to their ancient legacy."
f8a4edc83b,The Consolidated AI Hegemony,"The The Consolidated AI Hegemony emerges in the galaxy, establishing its capital at HD 212440-c.","The The Consolidated AI Hegemony enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Consolidated AI Hegemony reaches its peak geopolitical influence, asserting military dominance.","In Year 201952, the The Allied Technocracy launched a surprise offensive against The Consolidated AI Hegemony over territorial claims in the Aldebaran Prime sector. | In Year 234340, The Consolidated AI Hegemony successfully annexed colonies of The Great Consolidated Imperium after a siege on their outer defense platforms.",Reaching peak GDP of 8640.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Consolidated AI Hegemony.","Today, the ruins of jump gates and structures of The Consolidated AI Hegemony stand as monuments to their ancient legacy."
d2748466c9,The Great Scientific Imperium,"The The Great Scientific Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-b.","As FTL routes expanded, the The Great Scientific Imperium colonized surrounding sectors, claiming resources.",The The Great Scientific Imperium achieves a golden age of scientific and economic peak development.,"In Year 102638, a devastating fleet battle occurred in the Vega Nebula system where the forces of The Consolidated Orionan Systems clashed with The Great Scientific Imperium. | In Year 102928, a skirmish broke out in Sagittarius Prime between The Consolidated Xi-sagittariis Systems patrols and The Great Scientific Imperium raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 262515. The The Great Scientific Imperium is completely annexed or wiped out from the galactic theater.
4a7ef72f37,The Great Bulgite Imperium,"The The Great Bulgite Imperium emerges in the galaxy, establishing its capital at Mu Bulge-b.","As FTL routes expanded, the The Great Bulgite Imperium colonized surrounding sectors, claiming resources.",The The Great Bulgite Imperium achieves a golden age of scientific and economic peak development.,"In Year 171588, the The Consolidated Delta-bulgis Systems launched a surprise offensive against The Great Bulgite Imperium over territorial claims in the Rigel Expanse sector. | In Year 319975, a devastating fleet battle occurred in the Arcturus Arm system where the forces of The Great Bulgite Imperium clashed with The Scientific Technocracy.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Bulgite Imperium stand as monuments to their ancient legacy."
23979e6a05,The Great Unified Imperium,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-c.","The The Great Unified Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Unified Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 100547, the The Consolidated Scientific Systems launched a surprise offensive against The Great Unified Imperium over territorial claims in the Castor Nebula sector. | In Year 102026, the joint fleets of The Allied Technocracy and The Great Unified Imperium conducted a major peacekeeping operation in Orion Beta.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Great Unified Imperium.",The civilization became extinct in Year 260363. The The Great Unified Imperium is completely annexed or wiped out from the galactic theater.
b6e89e8b4d,The Consolidated Allied Systems,"The The Consolidated Allied Systems emerges in the galaxy, establishing its capital at Chi Persei-g.","As FTL routes expanded, the The Consolidated Allied Systems colonized surrounding sectors, claiming resources.",The The Consolidated Allied Systems achieves a golden age of scientific and economic peak development.,"In Year 128272, the The Gamma-cygnis Technocracy launched a surprise offensive against The Consolidated Allied Systems over territorial claims in the Procyon Expanse sector. | In Year 162896, a skirmish broke out in Polaris Expanse between The Consolidated Merari Systems patrols and The Consolidated Allied Systems raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 778705. The The Consolidated Allied Systems is completely annexed or wiped out from the galactic theater.
243eff68e3,The Great Sigma-bulgis Imperium,"The The Great Sigma-bulgis Imperium emerges in the galaxy, establishing its capital at Sigma Bulge-e.","The The Great Sigma-bulgis Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","During a era of peace, the economy grew, and trade hubs flourished, cementing their status.","In Year 346398, the joint fleets of The Great Sigma-bulgis Imperium and The Great Unified Imperium conducted a major peacekeeping operation in Sagittarius Prime. | In Year 378428, the The Great Meroid Imperium launched a surprise offensive against The Great Sigma-bulgis Imperium over territorial claims in the Arcturus Minor sector.","At their zenith, the The Great Sigma-bulgis Imperium exerted significant economic and political influence.","In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Sigma-bulgis Imperium stand as monuments to their ancient legacy."
9aa2eff7c3,The Great Persean Imperium,"The The Great Persean Imperium emerges in the galaxy, establishing its capital at Upsilon Persei-b.","As FTL routes expanded, the The Great Persean Imperium colonized surrounding sectors, claiming resources.",The The Great Persean Imperium achieves a golden age of scientific and economic peak development.,"In Year 126582, the joint fleets of The Great Scientific Imperium and The Great Persean Imperium conducted a major peacekeeping operation in Rigel Major. | In Year 418186, a devastating fleet battle occurred in the Procyon Sigma system where the forces of The Great Persean Imperium clashed with The Great Allied Imperium.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Great Persean Imperium stand as monuments to their ancient legacy."
5db2756626,The Great Unified Imperium,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-c.","The The Great Unified Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Unified Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 100547, the The Consolidated Scientific Systems launched a surprise offensive against The Great Unified Imperium over territorial claims in the Castor Nebula sector. | In Year 102026, the joint fleets of The Allied Technocracy and The Great Unified Imperium conducted a major peacekeeping operation in Orion Beta.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Great Unified Imperium.",The civilization became extinct in Year 260363. The The Great Unified Imperium is completely annexed or wiped out from the galactic theater.
37df7ce9be,The Great Unified Imperium,"The The Great Unified Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-c.","The The Great Unified Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Unified Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 100547, the The Consolidated Scientific Systems launched a surprise offensive against The Great Unified Imperium over territorial claims in the Castor Nebula sector. | In Year 102026, the joint fleets of The Allied Technocracy and The Great Unified Imperium conducted a major peacekeeping operation in Orion Beta.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Great Unified Imperium.",The civilization became extinct in Year 260363. The The Great Unified Imperium is completely annexed or wiped out from the galactic theater.
63fff6610a,The Great Meris Imperium,"The The Great Meris Imperium emerges in the galaxy, establishing its capital at Gaia-2971-d.","The The Great Meris Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Meris Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 131333, a devastating fleet battle occurred in the Capella Major system where the forces of The Great Meris Imperium clashed with The Great Allied Imperium. | In Year 137776, the joint fleets of The Great Meris Imperium and The Unified Technocracy conducted a major peacekeeping operation in Aldebaran Nebula.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 367194. The The Great Meris Imperium is completely annexed or wiped out from the galactic theater.
52d6d92e6b,The Unified Star Empire,"The The Unified Star Empire emerges in the galaxy, establishing its capital at Gaia-2971-e.","The The Unified Star Empire enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Unified Star Empire reaches its peak geopolitical influence, asserting military dominance.","In Year 127043, The Unified Star Empire successfully annexed colonies of The Great Unified Imperium after a siege on their outer defense platforms. | In Year 130597, a devastating fleet battle occurred in the Aldebaran Major system where the forces of The Cygnian Star Empire clashed with The Unified Star Empire.",Reaching peak GDP of 191688.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority. Internal instability and resource depletion cause the collapse of the central authority of The Unified Star Empire.",The civilization became extinct in Year 797846. The The Unified Star Empire is completely annexed or wiped out from the galactic theater.
ea27a17ca6,The Great Meris Imperium,"The The Great Meris Imperium emerges in the galaxy, establishing its capital at Gaia-2971-d.","The The Great Meris Imperium enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","The The Great Meris Imperium reaches its peak geopolitical influence, asserting military dominance.","In Year 131333, a devastating fleet battle occurred in the Capella Major system where the forces of The Great Meris Imperium clashed with The Great Allied Imperium. | In Year 137776, the joint fleets of The Great Meris Imperium and The Unified Technocracy conducted a major peacekeeping operation in Aldebaran Nebula.",Reaching peak GDP of 5000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 367194. The The Great Meris Imperium is completely annexed or wiped out from the galactic theater.
962632e3ac,The Zylarex Star Empire,"The The Zylarex Star Empire emerges in the galaxy, establishing its capital at GDE-378-b.","The The Zylarex Star Empire enters an expansionist phase, establishing new colonies and expanding its territorial footprint.","During a era of peace, the economy grew, and trade hubs flourished, cementing their status.","In Year 123646, a skirmish broke out in Rigel Prime between The Consolidated Unified Systems patrols and The Zylarex Star Empire raiders. | In Year 143360, a skirmish broke out in Pollux Major between The Zylarex Star Empire patrols and The Consolidated Chi-bulgis Systems raiders.","At their zenith, the The Zylarex Star Empire exerted significant economic and political influence.","In later periods, trade routes decayed and external pressures reduced central authority.","Today, the ruins of jump gates and structures of The Zylarex Star Empire stand as monuments to their ancient legacy."
0bfb7074dd,The Great Scientific Imperium,"The The Great Scientific Imperium emerges in the galaxy, establishing its capital at Omicron Galacticis-b.","As FTL routes expanded, the The Great Scientific Imperium colonized surrounding sectors, claiming resources.",The The Great Scientific Imperium achieves a golden age of scientific and economic peak development.,"In Year 102638, a devastating fleet battle occurred in the Vega Nebula system where the forces of The Consolidated Orionan Systems clashed with The Great Scientific Imperium. | In Year 102928, a skirmish broke out in Sagittarius Prime between The Consolidated Xi-sagittariis Systems patrols and The Great Scientific Imperium raiders.",Reaching peak GDP of 6000.0 credits with colonies.,"In later periods, trade routes decayed and external pressures reduced central authority.",The civilization became extinct in Year 262515. The The Great Scientific Imperium is completely annexed or wiped out from the galactic theater.
